thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.3277777777777778)],[np.float64(0.30092592592592593)],[1],[0],[0],[2.014961100000164],['target'],0,0,0,0,0.03956130000005942,,10,0.026405200000226614,0.03956130000005942,0.03956130000005942,0.026431499999944208,2.041451400000369,[np.float64(0.3277777777777778)],[np.float64(0.30092592592592593)],[1],[0],[0],[2.014961100000164],['target'],3,001,2025-09-29_10h24.05.085,Visual_Search_exp,,2025.1.1,59.82847177136802,2025-09-29 10h24.10.676349 +0530,
1,0,1,[np.float64(0.32222222222222224)],[np.float64(0.0712962962962963)],[1],[0],[0],[1.648146199999701],['target'],1,0,1,0,2.071325500000057,,10,2.060744700000214,2.071325500000057,2.071325500000057,0.019154400000388705,3.7089551000003667,[np.float64(0.32222222222222224)],[np.float64(0.0712962962962963)],[1],[0],[0],[1.648146199999701],['target'],3,001,2025-09-29_10h24.05.085,Visual_Search_exp,,2025.1.1,59.82847177136802,2025-09-29 10h24.10.676349 +0530,
2,0,2,[np.float64(0.36574074074074076)],[np.float64(0.20277777777777778)],[1],[0],[0],[1.2249422999998387],['target'],2,0,2,0,3.7243986000003133,,5,3.7177341999999953,3.7243986000003133,3.7243986000003133,0.008655199999793695,4.942742900000212,[np.float64(0.36574074074074076)],[np.float64(0.20277777777777778)],[1],[0],[0],[1.2249422999998387],['target'],3,001,2025-09-29_10h24.05.085,Visual_Search_exp,,2025.1.1,59.82847177136802,2025-09-29 10h24.10.676349 +0530,
3,0,3,[np.float64(0.11203703703703703)],[np.float64(-0.016666666666666666)],[1],[0],[0],[1.5741508999999496],['target'],3,0,3,0,4.9607270999999855,,5,4.9518081000001075,4.9607270999999855,4.9607270999999855,0.008950399999775982,6.5260307000003195,[np.float64(0.11203703703703703)],[np.float64(-0.016666666666666666)],[1],[0],[0],[1.5741508999999496],['target'],3,001,2025-09-29_10h24.05.085,Visual_Search_exp,,2025.1.1,59.82847177136802,2025-09-29 10h24.10.676349 +0530,
4,0,4,[np.float64(-0.049074074074074076)],[np.float64(-0.39537037037037037)],[1],[0],[0],[2.7155947999999626],['target'],4,0,4,0,6.553671500000291,,10,6.543153300000085,6.553671500000291,6.553671500000291,0.017023800000060874,9.258814600000278,[np.float64(-0.049074074074074076)],[np.float64(-0.39537037037037037)],[1],[0],[0],[2.7155947999999626],['target'],3,001,2025-09-29_10h24.05.085,Visual_Search_exp,,2025.1.1,59.82847177136802,2025-09-29 10h24.10.676349 +0530,
5,0,5,[np.float64(0.26481481481481484)],[np.float64(0.3787037037037037)],[1],[0],[0],[1.7904496000001018],['target'],5,0,5,0,9.275464700000157,,5,9.268057799999951,9.275464700000157,9.275464700000157,0.009119300000293151,11.05857670000023,[np.float64(0.26481481481481484)],[np.float64(0.3787037037037037)],[1],[0],[0],[1.7904496000001018],['target'],3,001,2025-09-29_10h24.05.085,Visual_Search_exp,,2025.1.1,59.82847177136802,2025-09-29 10h24.10.676349 +0530,
6,0,6,[np.float64(-0.412962962962963)],[np.float64(-0.3388888888888889)],[1],[0],[0],[3.482002100000045],['target'],6,0,6,0,11.086720700000114,,10,11.076680200000283,11.086720700000114,11.086720700000114,0.01800760000014634,14.558751900000061,[np.float64(-0.412962962962963)],[np.float64(-0.3388888888888889)],[1],[0],[0],[3.482002100000045],['target'],3,001,2025-09-29_10h24.05.085,Visual_Search_exp,,2025.1.1,59.82847177136802,2025-09-29 10h24.10.676349 +0530,
7,0,7,[np.float64(0.44166666666666665)],[np.float64(0.4074074074074074)],[1],[0],[0],[2.357192400000258],['target'],7,0,7,0,14.57637539999996,,5,14.5679583000001,14.57637539999996,14.57637539999996,0.009081899999728194,16.92521990000023,[np.float64(0.44166666666666665)],[np.float64(0.4074074074074074)],[1],[0],[0],[2.357192400000258],['target'],3,001,2025-09-29_10h24.05.085,Visual_Search_exp,,2025.1.1,59.82847177136802,2025-09-29 10h24.10.676349 +0530,
8,0,8,[np.float64(-0.3101851851851852)],[np.float64(0.4425925925925926)],[1],[0],[0],[2.915612300000248],['target'],8,0,8,0,16.96191280000039,,10,16.94980540000006,16.96191280000039,16.96191280000039,0.02448969999977635,19.86549070000001,[np.float64(-0.3101851851851852)],[np.float64(0.4425925925925926)],[1],[0],[0],[2.915612300000248],['target'],3,001,2025-09-29_10h24.05.085,Visual_Search_exp,,2025.1.1,59.82847177136802,2025-09-29 10h24.10.676349 +0530,
9,0,9,[np.float64(-0.05462962962962963)],[np.float64(-0.39444444444444443)],[1],[0],[0],[2.098967800000082],['target'],9,0,9,0,19.902528300000085,,10,19.890756200000396,19.902528300000085,19.902528300000085,0.025136200000360986,21.989786500000264,[np.float64(-0.05462962962962963)],[np.float64(-0.39444444444444443)],[1],[0],[0],[2.098967800000082],['target'],3,001,2025-09-29_10h24.05.085,Visual_Search_exp,,2025.1.1,59.82847177136802,2025-09-29 10h24.10.676349 +0530,
