study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,Test_words,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
case,0,0,0,1.3592592592592592,2.5944202998653054,,,,,,,,,,,,0,0,0,10,,,,,0.045952900080010295,,0.023259300040081143,0.045952900080010295,0.045952900080010295,2.6337170999031514,1.3592592592592592,2.5944202998653054,,,,,,,,,,,,,,,,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
t-shirt,1,1,0,1.4555555555555555,2.0924241999164224,,,,,,,,,,,,0,1,1,7,,,,,2.6546084000729024,,2.6412806999869645,2.6546084000729024,2.6546084000729024,4.750919600017369,1.4555555555555555,2.0924241999164224,,,,,,,,,,,,,,,,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
poster,2,2,0,1.7740740740740741,2.7122684000059962,,,,,,,,,,,,0,2,2,14,,,,,4.7655269000679255,,4.755245900014415,4.7655269000679255,4.7655269000679255,7.483432600041851,1.7740740740740741,2.7122684000059962,,,,,,,,,,,,,,,,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
board,3,3,0,1.4,3.3959941999055445,,,,,,,,,,,,0,3,3,4,,,,,7.498744700103998,,7.487616100115702,7.498744700103998,7.498744700103998,10.90045200008899,1.4,3.3959941999055445,,,,,,,,,,,,,,,,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
phone,4,4,0,1.8592592592592592,2.8146104998886585,,,,,,,,,,,,0,4,4,2,,,,,10.915468200109899,,10.902686200104654,10.915468200109899,10.915468200109899,13.733865099959075,1.8592592592592592,2.8146104998886585,,,,,,,,,,,,,,,,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
laptop,5,5,0,1.1333333333333333,1.9152804999612272,,,,,,,,,,,,0,5,5,5,,,,,13.748745900113136,,13.736431400058791,13.748745900113136,13.748745900113136,15.665944200009108,1.1333333333333333,1.9152804999612272,,,,,,,,,,,,,,,,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
chart,6,6,0,1.1555555555555554,1.9160580998286605,,,,,,,,,,,,0,6,6,6,,,,,15.682019999949262,,15.668448999989778,15.682019999949262,15.682019999949262,17.60075689991936,1.1555555555555554,1.9160580998286605,,,,,,,,,,,,,,,,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
book,7,7,0,1.511111111111111,1.6968327998183668,,,,,,,,,,,,0,7,7,0,,,,,17.615293600130826,,17.60340439993888,17.615293600130826,17.615293600130826,19.317126400070265,1.511111111111111,1.6968327998183668,,,,,,,,,,,,,,,,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
marble ,8,8,0,1.885185185185185,1.8146828999742866,,,,,,,,,,,,0,8,8,3,,,,,19.33252970012836,,19.319891199935228,19.33252970012836,19.33252970012836,21.150558999972418,1.885185185185185,1.8146828999742866,,,,,,,,,,,,,,,,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
keys,9,9,0,1.4,3.012800600146875,,,,,,,,,,,,0,9,9,13,,,,,21.165992599911988,,21.15527440002188,21.165992599911988,21.165992599911988,24.183385099982843,1.4,3.012800600146875,,,,,,,,,,,,,,,,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
pastry,10,10,0,1.9037037037037037,2.0826997000258416,,,,,,,,,,,,0,10,10,9,,,,,24.199054500088096,,24.18587930011563,24.199054500088096,24.199054500088096,26.283700600033626,1.9037037037037037,2.0826997000258416,,,,,,,,,,,,,,,,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
police,11,11,0,1.4925925925925927,1.8333684999961406,,,,,,,,,,,,0,11,11,12,,,,,26.298868200043216,,26.28619459993206,26.298868200043216,26.298868200043216,28.13308020005934,1.4925925925925927,1.8333684999961406,,,,,,,,,,,,,,,,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
cruise,12,12,0,1.151851851851852,2.0810597001109272,,,,,,,,,,,,0,12,12,11,,,,,28.149425799958408,,28.136634499998763,28.149425799958408,28.149425799958408,30.233239999972284,1.151851851851852,2.0810597001109272,,,,,,,,,,,,,,,,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
cushion,13,13,0,1.8888888888888888,3.3654835000634193,,,,,,,,,,,,0,13,13,1,,,,,30.24879930005409,,30.23597009992227,30.24879930005409,30.24879930005409,33.61639610002749,1.8888888888888888,3.3654835000634193,,,,,,,,,,,,,,,,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
mouse,14,14,0,1.4037037037037037,2.7153366999700665,,,,,,,,,,,,0,14,14,8,,,,,33.632256200071424,,33.618900700006634,33.632256200071424,33.632256200071424,36.35022470005788,1.4037037037037037,2.7153366999700665,,,,,,,,,,,,,,,,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,0,0,0,,,_ha_t,chart,old,chart,[np.float64(0.053703703703703705)],[np.float64(-0.30185185185185187)],[1],[0],[0],[5.923250700114295],['text_3'],,,,,0,0,0,1,36.37914189998992,,,,,,,,36.36130220000632,36.37914189998992,36.37914189998992,36.37914189998992,0.011061500059440732,42.284789100056514,chart,[np.float64(0.053703703703703705)],[np.float64(-0.30185185185185187)],[1],[0],[0],[5.923250700114295],['text_3'],,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,1,1,0,,,_o_rd,board,old,board,[np.float64(0.09259259259259259)],[np.float64(-0.31666666666666665)],[1],[0],[0],[8.697404299862683],['text_3'],,,,,0,1,1,10,42.298483199905604,,,,,,,,42.28665190003812,42.298483199905604,42.298483199905604,42.298483199905604,0.0017599000129848719,50.984320499934256,board,[np.float64(0.09259259259259259)],[np.float64(-0.31666666666666665)],[1],[0],[0],[8.697404299862683],['text_3'],,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,2,2,0,,,v_s_,vase,new,vase,[np.float64(0.04814814814814815)],[np.float64(-0.2851851851851852)],[1],[0],[0],[4.659396399976686],['text_3'],,,,,0,2,2,17,51.00452430010773,,,,,,,,50.991079499945045,51.00452430010773,51.00452430010773,51.00452430010773,0.006610400043427944,55.65089370007627,vase,[np.float64(0.04814814814814815)],[np.float64(-0.2851851851851852)],[1],[0],[0],[4.659396399976686],['text_3'],,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,3,3,0,,,t_hi_t,tshirt,old,tshirt,[np.float64(0.0712962962962963)],[np.float64(-0.3138888888888889)],[1],[0],[0],[6.199032000033185],['text_3'],,,,,0,3,3,2,55.66587879997678,,,,,,,,55.652898400090635,55.66587879997678,55.66587879997678,55.66587879997678,0.0018019999843090773,61.85217440011911,tshirt,[np.float64(0.0712962962962963)],[np.float64(-0.3138888888888889)],[1],[0],[0],[6.199032000033185],['text_3'],,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,4,4,0,,,p_li_e,police,old,police,[np.float64(0.04722222222222222)],[np.float64(-0.30462962962962964)],[1],[0],[0],[4.262988700065762],['text_3'],,,,,0,4,4,7,61.86732479999773,,,,,,,,61.85516169993207,61.86732479999773,61.86732479999773,61.86732479999773,0.0028832999523729086,66.11851619998924,police,[np.float64(0.04722222222222222)],[np.float64(-0.30462962962962964)],[1],[0],[0],[4.262988700065762],['text_3'],,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,5,5,0,,,p_nc_l,pencil,new,penc,[],[],[],[],[],[],[],,,,,0,5,5,16,66.13350849994458,,,,,,,,66.12104870006442,66.13350849994458,66.13350849994458,66.13350849994458,0.002401800127699971,76.11762259993702,penc,[],[],[],[],[],[],[],76.13379339990206,76.13379339990206,76.13379339990206,9.998505600029603,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,6,6,0,,,bo_t_e,bottle,new,bottle,[np.float64(0.0712962962962963)],[np.float64(-0.2824074074074074)],[1],[0],[0],[9.582670500036329],['text_3'],,,,,0,6,6,18,76.13379339990206,,,,,,,,76.12020520004444,76.13379339990206,76.13379339990206,76.13379339990206,0.0015591999981552362,85.70319549995475,bottle,[np.float64(0.0712962962962963)],[np.float64(-0.2824074074074074)],[1],[0],[0],[9.582670500036329],['text_3'],,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,7,7,0,,,_ho_e,phone,old,phone,[np.float64(0.09351851851851851)],[np.float64(-0.2861111111111111)],[1],[0],[0],[6.047243000008166],['text_3'],,,,,0,7,7,12,85.71623639995232,,,,,,,,85.70517500001006,85.71623639995232,85.71623639995232,85.71623639995232,0.0018446000758558512,91.75270380009897,phone,[np.float64(0.09351851851851851)],[np.float64(-0.2861111111111111)],[1],[0],[0],[6.047243000008166],['text_3'],,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,8,8,0,,,p_str_,pastry,old,pastry,[np.float64(0.03981481481481482)],[np.float64(-0.30648148148148147)],[1],[0],[0],[4.229599900078028],['text_3'],,,,,0,8,8,4,91.76792749995366,,,,,,,,91.755434300052,91.76792749995366,91.76792749995366,91.76792749995366,0.0026341001503169537,95.98532050009817,pastry,[np.float64(0.03981481481481482)],[np.float64(-0.30648148148148147)],[1],[0],[0],[4.229599900078028],['text_3'],,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,9,9,0,,,c_s_,case,old,case,[np.float64(0.05462962962962963)],[np.float64(-0.30833333333333335)],[1],[0],[0],[4.449264100054279],['text_3'],,,,,0,9,9,5,95.99980459990911,,,,,,,,95.98720009997487,95.99980459990911,95.99980459990911,95.99980459990911,0.001795999938622117,100.43672060011886,case,[np.float64(0.05462962962962963)],[np.float64(-0.30833333333333335)],[1],[0],[0],[4.449264100054279],['text_3'],,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
