study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,Test_words,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,10,10,0,,,c_m_ra,camera,new,,[],[],[],[],[],[],[],,,,,0,10,10,19,100.45046299998648,,,,,,,,100.43893550010398,100.45046299998648,100.45046299998648,100.45046299998648,0.0018992999102920294,110.43718830007128,,[],[],[],[],[],[],[],110.4545515999198,110.4545515999198,110.4545515999198,9.999658799963072,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,11,11,0,,,k_y_,keys,old,keys,[np.float64(0.08148148148148149)],[np.float64(-0.2953703703703704)],[1],[0],[0],[3.1295382999815047],['text_3'],,,,,0,11,11,8,110.4545515999198,,,,,,,,110.43959400011227,110.4545515999198,110.4545515999198,110.4545515999198,0.0025589000433683395,113.56943470006809,keys,[np.float64(0.08148148148148149)],[np.float64(-0.2953703703703704)],[1],[0],[0],[3.1295382999815047],['text_3'],,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,12,12,0,,,l_pt_p,laptop,old ,laptop,[np.float64(0.11666666666666667)],[np.float64(-0.3175925925925926)],[1],[0],[0],[3.280739099951461],['text_3'],,,,,0,12,12,0,113.58447470003739,,,,,,,,113.57179570011795,113.58447470003739,113.58447470003739,113.58447470003739,0.0022688000462949276,116.85292030009441,laptop,[np.float64(0.11666666666666667)],[np.float64(-0.3175925925925926)],[1],[0],[0],[3.280739099951461],['text_3'],,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,13,13,0,,,_a_bl_,marble,old,marbel,[],[],[],[],[],[],[],,,,,0,13,13,11,116.86657000007108,,,,,,,,116.85536670009606,116.86657000007108,116.86657000007108,116.86657000007108,0.0022667001467198133,126.85152949998155,marbel,[],[],[],[],[],[],[],126.86790050007403,126.86790050007403,126.86790050007403,9.997899000067264,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,14,14,0,,,ta_l_,table,new,ta,[],[],[],[],[],[],[],,,,,0,14,14,15,126.86790050007403,,,,,,,,126.85518310009502,126.86790050007403,126.86790050007403,126.86790050007403,0.00215300009585917,136.85269120009616,ta,[],[],[],[],[],[],[],136.86781079997309,136.86781079997309,136.86781079997309,9.999013700056821,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,15,15,0,,,c_s_io_,cushion,old,cushion,[np.float64(0.07592592592592592)],[np.float64(-0.31851851851851853)],[1],[0],[0],[6.396238900022581],['text_3'],,,,,0,15,15,14,136.86781079997309,,,,,,,,136.8557831000071,136.86781079997309,136.86781079997309,136.86781079997309,0.002694800030440092,143.2524522000458,cushion,[np.float64(0.07592592592592592)],[np.float64(-0.31851851851851853)],[1],[0],[0],[6.396238900022581],['text_3'],,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,16,16,0,,,p_st_r,poster,old,poster,[np.float64(0.08611111111111111)],[np.float64(-0.2962962962962963)],[1],[0],[0],[5.264465800020844],['text_3'],,,,,0,16,16,9,143.26729109999724,,,,,,,,143.25471030012704,143.26729109999724,143.26729109999724,143.26729109999724,0.002139200223609805,148.5195023000706,poster,[np.float64(0.08611111111111111)],[np.float64(-0.2962962962962963)],[1],[0],[0],[5.264465800020844],['text_3'],,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,17,17,0,,,_oo_,book,old,book,[np.float64(0.0962962962962963)],[np.float64(-0.29814814814814816)],[1],[0],[0],[4.864339200081304],['text_3'],,,,,0,17,17,13,148.5349252000451,,,,,,,,148.522081800038,148.5349252000451,148.5349252000451,148.5349252000451,0.0024786998983472586,153.38682010001503,book,[np.float64(0.0962962962962963)],[np.float64(-0.29814814814814816)],[1],[0],[0],[4.864339200081304],['text_3'],,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,18,18,0,,,_ru_s_,cruise,old,cruise,[np.float64(0.07222222222222222)],[np.float64(-0.3037037037037037)],[1],[0],[0],[4.979558799881488],['text_3'],,,,,0,18,18,6,153.40252170013264,,,,,,,,153.3896510999184,153.40252170013264,153.40252170013264,153.40252170013264,0.0027369000017642975,158.3696208000183,cruise,[np.float64(0.07222222222222222)],[np.float64(-0.3037037037037037)],[1],[0],[0],[4.979558799881488],['text_3'],,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
,19,19,0,,,_o_se,mouse,old,mouse,[np.float64(0.08425925925925926)],[np.float64(-0.2935185185185185)],[1],[0],[0],[7.931606600061059],['text_3'],,,,,0,19,19,3,158.3840433000587,,,,,,,,158.3714938000776,158.3840433000587,158.3840433000587,158.3840433000587,0.0017792999278753996,166.30338630010374,mouse,[np.float64(0.08425925925925926)],[np.float64(-0.2935185185185185)],[1],[0],[0],[7.931606600061059],['text_3'],,,,,03,001,2025-10-15_13h17.02.575,Word_priming_exp,,2025.1.1,60.279346555623775,2025-10-15 13h17.12.980803 +0530,
