reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
28,51,150,0,0,0,t,7.397561500023585,None,0,0,0,40,0.12055309998686425,,0.11044709998532198,0.12055309998686425,1.0037433999823406,1.0037433999823406,1.1203915999794845,8.426536299986765,t,7.397561500023585,None,004,001,2025-10-29_21h14.42.978,delay_discounting_exp,,2025.1.1,60.0714249296269,2025-10-29 21h14.51.890331 +0530,
48,92,111,1,1,0,l,5.078558100009104,None,0,1,1,94,8.444738899997901,,8.436538899986772,8.444738899997901,9.429250399989542,9.429250399989542,9.446017799986294,14.513487099990016,l,5.078558100009104,None,004,001,2025-10-29_21h14.42.978,delay_discounting_exp,,2025.1.1,60.0714249296269,2025-10-29 21h14.51.890331 +0530,
58,95,24,2,2,0,l,4.594359999988228,None,0,2,2,76,14.529308500001207,,14.518670499994187,14.529308500001207,15.51290259999223,15.51290259999223,15.529566899989732,20.113522799976636,l,4.594359999988228,None,004,001,2025-10-29_21h14.42.978,delay_discounting_exp,,2025.1.1,60.0714249296269,2025-10-29 21h14.51.890331 +0530,
52,96,8,3,3,0,t,22.048809100000653,None,0,3,3,11,20.129037399980007,,20.120780600002035,20.129037399980007,21.113340399984736,21.113340399984736,21.129765599995153,43.16493269999046,t,22.048809100000653,None,004,001,2025-10-29_21h14.42.978,delay_discounting_exp,,2025.1.1,60.0714249296269,2025-10-29 21h14.51.890331 +0530,
85,120,16,4,4,0,l,2.8786526000185404,None,0,4,4,30,43.1812708999787,,43.168930599989835,43.1812708999787,44.16436840000097,44.16436840000097,44.18119839997962,47.048286799981724,l,2.8786526000185404,None,004,001,2025-10-29_21h14.42.978,delay_discounting_exp,,2025.1.1,60.0714249296269,2025-10-29 21h14.51.890331 +0530,
204,220,14,5,5,0,t,4.07246940000914,None,0,5,5,84,47.06500919998507,,47.05234689998906,47.06500919998507,48.048309799982235,48.048309799982235,48.064837499987334,52.13232399997651,t,4.07246940000914,None,004,001,2025-10-29_21h14.42.978,delay_discounting_exp,,2025.1.1,60.0714249296269,2025-10-29 21h14.51.890331 +0530,
78,80,162,6,6,0,t,2.0458136000088416,None,0,6,6,6,52.14782610000111,,52.13911889999872,52.14782610000111,53.1320238999906,53.1320238999906,53.148132599977544,55.181959799985634,t,2.0458136000088416,None,004,001,2025-10-29_21h14.42.978,delay_discounting_exp,,2025.1.1,60.0714249296269,2025-10-29 21h14.51.890331 +0530,
106,207,184,7,7,0,l,1.5867276000208221,None,0,7,7,89,55.19840669998666,,55.18515409997781,55.19840669998666,56.181596599984914,56.181596599984914,56.19849469998735,57.782282999978634,l,1.5867276000208221,None,004,001,2025-10-29_21h14.42.978,delay_discounting_exp,,2025.1.1,60.0714249296269,2025-10-29 21h14.51.890331 +0530,
87,102,177,8,8,0,t,2.9177389999968,None,0,8,8,51,57.798554399982095,,57.785123399982695,57.798554399982095,58.78174679999938,58.78174679999938,58.79864549997728,61.71594460000051,t,2.9177389999968,None,004,001,2025-10-29_21h14.42.978,delay_discounting_exp,,2025.1.1,60.0714249296269,2025-10-29 21h14.51.890331 +0530,
36,84,12,9,9,0,t,1.2647697000065818,None,0,9,9,49,61.732719599996926,,61.721198699990055,61.732719599996926,62.71541159998742,62.71541159998742,62.732090399978915,63.98338289998355,t,1.2647697000065818,None,004,001,2025-10-29_21h14.42.978,delay_discounting_exp,,2025.1.1,60.0714249296269,2025-10-29 21h14.51.890331 +0530,
