thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
66,0,66,down,1,0.7677745001856238,None,4,66,0,66,0,105.15042830002494,,105.1335813999176,105.15042830002494,106.13452429999597,106.15169829991646,106.91765249986202,down,1,0.7677745001856238,None,4,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
67,0,67,up,0,0.7000913000665605,None,1,67,0,67,0,106.93467450002208,,106.91794020007364,106.93467450002208,107.9179557999596,107.9345142999664,108.6350227999501,up,0,0.7000913000665605,None,1,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
68,0,68,down,1,0.41329910000786185,None,1,68,0,68,0,108.65071090008132,,108.63528549997136,108.65071090008132,109.6512668998912,109.6512668998912,110.06796310003847,down,1,0.41329910000786185,None,1,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
69,0,69,up,1,0.5663403999060392,None,0,69,0,69,0,110.08365789987147,,110.06838819989935,110.08365789987147,111.0680893000681,111.08514370000921,111.65232619992457,up,1,0.5663403999060392,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
70,0,70,down,1,0.46568670007400215,None,-5,70,0,70,0,111.67458250001073,,111.65267800004221,111.67458250001073,112.66799989994615,112.68509229994379,113.13574970001355,down,1,0.46568670007400215,None,-5,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
71,0,71,up,1,0.41896379995159805,None,0,71,0,71,0,113.15056540002115,,113.13611970003694,113.15056540002115,114.15145340003073,114.15145340003073,114.58444170001894,up,1,0.41896379995159805,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
72,0,72,down,0,0.4092415999621153,None,0,72,0,72,0,114.60135830007493,,114.58476660004817,114.60135830007493,115.58515270007774,115.60187330003828,116.00131479999982,down,0,0.4092415999621153,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
73,0,73,up,0,0.41571660013869405,None,-2,73,0,73,0,116.0180216000881,,116.0016040999908,116.0180216000881,117.0013957999181,117.0177807,117.41878429986537,up,0,0.41571660013869405,None,-2,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
74,0,74,down,1,0.3353223998565227,None,-3,74,0,74,0,117.43473119987175,,117.41906949994154,117.43473119987175,118.43455999996513,118.43455999996513,118.78590700007044,down,1,0.3353223998565227,None,-3,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
75,0,75,down,0,0.4608399998396635,None,0,75,0,75,0,118.80063519999385,,118.78617440001108,118.80063519999385,119.80069860001095,119.80069860001095,120.26770689990371,down,0,0.4608399998396635,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
76,0,76,down,0,0.3407326000742614,None,0,76,0,76,0,120.28360609989613,,120.26794510008767,120.28360609989613,121.26817639986984,121.28495880006813,121.61860419996083,down,0,0.3407326000742614,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
77,0,77,up,1,0.3534079999662936,None,0,77,0,77,0,121.63433389994316,,121.61889140005223,121.63433389994316,122.61764100007713,122.63489490002394,122.98390739993192,up,1,0.3534079999662936,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
78,0,78,up,1,0.3908726000227034,None,0,78,0,78,0,123.00149799999781,,122.98418879997917,123.00149799999781,123.9851953999605,124.00191390002146,124.38500789995305,up,1,0.3908726000227034,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
79,0,79,down,1,0.4806540999561548,None,-5,79,0,79,0,124.40221289987676,,124.3852800000459,124.40221289987676,125.38546560006216,125.40219950000755,125.86755819991231,down,1,0.4806540999561548,None,-5,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
80,0,80,up,1,0.6938430999871343,None,0,80,0,80,0,125.8860704000108,,125.86779669998214,125.8860704000108,126.86780990008265,126.90171590005048,127.56921510002576,up,1,0.6938430999871343,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
