cue_arrow,target_x,condition,corr_Ans,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,start_key.started,welcome.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,fixation.stopped,cue_text.started,cue_text.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thankyou.started,text.started,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.00838879999355413,0.018764199994620867,0.018764199994620867,4.803079199991771,space,4.766336200002115,None,,,,,,,,,,,,,,,,03,001,2025-11-14_20h52.05.215,cueing_task_exp,,2025.1.1,60.64877204026198,2025-11-14 20h52.20.743092 +0530,
←,-0.5,valid,left,0,0,0,left,1,0.6522355999913998,None,0,0,0,6,4.836158599995542,,,,,,,,,4.825842599995667,4.836158599995542,5.318379399992409,5.318379399992409,5.60289300000295,5.9029652000026545,5.9029652000026545,6.5689378999959445,left,1,0.6522355999913998,None,,,,03,001,2025-11-14_20h52.05.215,cueing_task_exp,,2025.1.1,60.64877204026198,2025-11-14 20h52.20.743092 +0530,
→,0.5,valid,right,1,1,0,right,1,0.3425987999944482,None,0,1,1,2,6.583833500000765,,,,,,,,,6.573904099990614,6.583833500000765,7.069334599989816,7.069334599989816,7.369546999994782,7.668528800000786,7.668528800000786,8.019305099995108,right,1,0.3425987999944482,None,,,,03,001,2025-11-14_20h52.05.215,cueing_task_exp,,2025.1.1,60.64877204026198,2025-11-14 20h52.20.743092 +0530,
←,-0.5,valid,left,2,2,0,left,1,0.3343721999990521,None,0,2,2,1,8.035702299996046,,,,,,,,,8.021570999990217,8.035702299996046,8.519652399991173,8.519652399991173,8.819162200001301,9.119446400000015,9.119446400000015,9.470411599992076,left,1,0.3343721999990521,None,,,,03,001,2025-11-14_20h52.05.215,cueing_task_exp,,2025.1.1,60.64877204026198,2025-11-14 20h52.20.743092 +0530,
→,0.5,valid,right,3,3,0,right,1,0.40363100000831764,None,0,3,3,7,9.48536089999834,,,,,,,,,9.473050400003558,9.48536089999834,9.98603249998996,9.98603249998996,10.284331599992584,10.58647719999135,10.58647719999135,11.00338819999888,right,1,0.40363100000831764,None,,,,03,001,2025-11-14_20h52.05.215,cueing_task_exp,,2025.1.1,60.64877204026198,2025-11-14 20h52.20.743092 +0530,
←,-0.5,valid,left,4,4,0,left,1,0.2750627999921562,None,0,4,4,5,11.019257199994172,,,,,,,,,11.005892999994103,11.019257199994172,11.51935269999376,11.51935269999376,11.80270699999528,12.102959399999236,12.102959399999236,12.387139600003138,left,1,0.2750627999921562,None,,,,03,001,2025-11-14_20h52.05.215,cueing_task_exp,,2025.1.1,60.64877204026198,2025-11-14 20h52.20.743092 +0530,
→,-0.5,invalid,left,5,5,0,left,1,0.43009280000114813,None,0,5,5,8,12.400895600003423,,,,,,,,,12.389914899991709,12.400895600003423,12.886128500002087,12.886128500002087,13.203116299991962,13.502637400000822,13.502637400000822,13.935498599996208,left,1,0.43009280000114813,None,,,,03,001,2025-11-14_20h52.05.215,cueing_task_exp,,2025.1.1,60.64877204026198,2025-11-14 20h52.20.743092 +0530,
←,0.5,invalid,right,6,6,0,right,1,0.5376227999950061,None,0,6,6,9,13.95096659999399,,,,,,,,,13.937927299994044,13.95096659999399,14.436490299995057,14.436490299995057,14.735714299997198,15.036226900003385,15.036226900003385,15.585850699993898,right,1,0.5376227999950061,None,,,,03,001,2025-11-14_20h52.05.215,cueing_task_exp,,2025.1.1,60.64877204026198,2025-11-14 20h52.20.743092 +0530,
←,-0.5,valid,left,7,7,0,left,1,0.32144070000504144,None,0,7,7,4,15.602833900004043,,,,,,,,,15.586479499994311,15.602833900004043,16.08655330000329,16.08655330000329,16.386153699990246,16.686476799994125,16.686476799994125,17.02061120000144,left,1,0.32144070000504144,None,,,,03,001,2025-11-14_20h52.05.215,cueing_task_exp,,2025.1.1,60.64877204026198,2025-11-14 20h52.20.743092 +0530,
→,0.5,valid,right,8,8,0,right,1,0.43008869999903254,None,0,8,8,3,17.03485539999383,,,,,,,,,17.02307429999928,17.03485539999383,17.53490569999849,17.53490569999849,17.836514599999646,18.119286400004057,18.119286400004057,18.5526097999973,right,1,0.43008869999903254,None,,,,03,001,2025-11-14_20h52.05.215,cueing_task_exp,,2025.1.1,60.64877204026198,2025-11-14 20h52.20.743092 +0530,
