cue_arrow,target_x,condition,corr_Ans,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,start_key.started,welcome.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,fixation.stopped,cue_text.started,cue_text.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thankyou.started,text.started,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.008833699990645982,0.019335699995281175,0.019335699995281175,6.643253699992783,space,6.6106902999890735,None,,,,,,,,,,,,,,,,02,001,2025-11-14_20h16.24.165,cueing_task_exp,,2025.1.1,59.704664904256454,2025-11-14 20h16.34.643965 +0530,
→,0.5,valid,right,0,0,0,right,1,1.99616569999489,None,0,0,0,2,6.683475700003328,,,,,,,,,6.672239499996067,6.683475700003328,7.145222599996487,7.145222599996487,7.444953600002918,7.744816199992783,7.744816199992783,9.744908399996348,right,1,1.99616569999489,None,,,,02,001,2025-11-14_20h16.24.165,cueing_task_exp,,2025.1.1,59.704664904256454,2025-11-14 20h16.34.643965 +0530,
←,-0.5,valid,left,1,1,0,left,1,0.5186806999990949,None,0,1,1,5,9.760196699993685,,,,,,,,,9.750290900003165,9.760196699993685,10.245412199990824,10.245412199990824,10.545296700001927,10.845566399992094,10.845566399992094,11.378330299994559,left,1,0.5186806999990949,None,,,,02,001,2025-11-14_20h16.24.165,cueing_task_exp,,2025.1.1,59.704664904256454,2025-11-14 20h16.34.643965 +0530,
←,-0.5,valid,left,2,2,0,left,1,0.0015438999980688095,None,0,2,2,6,11.395003600002383,,,,,,,,,11.378786799992668,11.395003600002383,11.876801099992008,11.876801099992008,12.17764329999045,12.478653600002872,12.478653600002872,12.494635199996992,left,1,0.0015438999980688095,None,,,,02,001,2025-11-14_20h16.24.165,cueing_task_exp,,2025.1.1,59.704664904256454,2025-11-14 20h16.34.643965 +0530,
→,0.5,valid,right,3,3,0,right,1,0.22894890001043677,None,0,3,3,3,12.511363800003892,,,,,,,,,12.497269699990284,12.511363800003892,12.993964799999958,12.993964799999958,13.295404399992549,13.59488039999269,13.59488039999269,13.829338299998199,right,1,0.22894890001043677,None,,,,02,001,2025-11-14_20h16.24.165,cueing_task_exp,,2025.1.1,59.704664904256454,2025-11-14 20h16.34.643965 +0530,
→,-0.5,invalid,left,4,4,0,right,0,0.19686579999688547,None,0,4,4,8,13.843591999990167,,,,,,,,,13.830074899989995,13.843591999990167,14.345740799995838,14.345740799995838,14.645120799992583,14.94475959999545,14.94475959999545,15.145645700002206,right,0,0.19686579999688547,None,,,,02,001,2025-11-14_20h16.24.165,cueing_task_exp,,2025.1.1,59.704664904256454,2025-11-14 20h16.34.643965 +0530,
→,0.5,valid,right,5,5,0,right,1,0.9582770999986678,None,0,5,5,0,15.16023850000056,,,,,,,,,15.146179699993809,15.16023850000056,15.662017599999672,15.662017599999672,15.944940799992764,16.24469289999979,16.24469289999979,17.211643399990862,right,1,0.9582770999986678,None,,,,02,001,2025-11-14_20h16.24.165,cueing_task_exp,,2025.1.1,59.704664904256454,2025-11-14 20h16.34.643965 +0530,
←,-0.5,valid,left,6,6,0,left,1,0.6409792000049492,None,0,6,6,1,17.22786420000193,,,,,,,,,17.21386689999781,17.22786420000193,17.712346000000252,17.712346000000252,18.011678399998345,18.311792699998477,18.311792699998477,18.96138609999616,left,1,0.6409792000049492,None,,,,02,001,2025-11-14_20h16.24.165,cueing_task_exp,,2025.1.1,59.704664904256454,2025-11-14 20h16.34.643965 +0530,
←,-0.5,valid,left,7,7,0,left,1,0.513155699998606,None,0,7,7,4,18.977433599997312,,,,,,,,,18.962015099998098,18.977433599997312,19.462654599992675,19.462654599992675,19.7624111000041,20.062201699998695,20.062201699998695,20.579148999997415,left,1,0.513155699998606,None,,,,02,001,2025-11-14_20h16.24.165,cueing_task_exp,,2025.1.1,59.704664904256454,2025-11-14 20h16.34.643965 +0530,
→,0.5,valid,right,8,8,0,right,1,0.32526330000837334,None,0,8,8,7,20.594592900000862,,,,,,,,,20.581662500000675,20.594592900000862,21.077743599991663,21.077743599991663,21.37823699999717,21.695326000000932,21.695326000000932,22.02861120000307,right,1,0.32526330000837334,None,,,,02,001,2025-11-14_20h16.24.165,cueing_task_exp,,2025.1.1,59.704664904256454,2025-11-14 20h16.34.643965 +0530,
←,0.5,invalid,right,9,9,0,right,1,0.6128726999886567,None,0,9,9,9,22.04433489999792,,,,,,,,,22.030797699990217,22.04433489999792,22.52966600000218,22.52966600000218,22.82877120000194,23.128661299997475,23.128661299997475,23.745540599993546,right,1,0.6128726999886567,None,,,,02,001,2025-11-14_20h16.24.165,cueing_task_exp,,2025.1.1,59.704664904256454,2025-11-14 20h16.34.643965 +0530,
→,0.5,valid,right,10,0,1,right,1,1.0005263000057312,None,1,0,10,7,23.76106119999895,,,,,,,,,23.74778890000016,23.76106119999895,24.245874699990964,24.245874699990964,24.545360499992967,24.844443299996783,24.844443299996783,25.861883199992008,right,1,1.0005263000057312,None,,,,02,001,2025-11-14_20h16.24.165,cueing_task_exp,,2025.1.1,59.704664904256454,2025-11-14 20h16.34.643965 +0530,
←,-0.5,valid,left,11,1,1,left,1,0.4823967999982415,None,1,1,11,6,25.87896109999565,,,,,,,,,25.864033499994548,25.87896109999565,26.36110280000139,26.36110280000139,26.662515799995163,26.961768900000607,26.961768900000607,27.445172099993215,left,1,0.4823967999982415,None,,,,02,001,2025-11-14_20h16.24.165,cueing_task_exp,,2025.1.1,59.704664904256454,2025-11-14 20h16.34.643965 +0530,
←,-0.5,valid,left,12,2,1,left,1,0.4187992000079248,None,1,2,12,5,27.460560599996825,,,,,,,,,27.445697499992093,27.460560599996825,27.961292799998773,27.961292799998773,28.260313699996914,28.56008440000005,28.56008440000005,28.993885399991996,left,1,0.4187992000079248,None,,,,02,001,2025-11-14_20h16.24.165,cueing_task_exp,,2025.1.1,59.704664904256454,2025-11-14 20h16.34.643965 +0530,
→,0.5,valid,right,13,3,1,right,1,0.45233729999745265,None,1,3,13,2,29.07467239999096,,,,,,,,,29.06741730000067,29.07467239999096,29.49426599999424,29.49426599999424,29.793471800003317,30.09348100000352,30.09348100000352,30.5604178999929,right,1,0.45233729999745265,None,,,,02,001,2025-11-14_20h16.24.165,cueing_task_exp,,2025.1.1,59.704664904256454,2025-11-14 20h16.34.643965 +0530,
←,-0.5,valid,left,14,4,1,left,1,0.31825719999324065,None,1,4,14,1,30.577760799991665,,,,,,,,,30.56214359999285,30.577760799991665,31.060103900003014,31.060103900003014,31.359927700003027,31.66192549999687,31.66192549999687,31.9956053999922,left,1,0.31825719999324065,None,,,,02,001,2025-11-14_20h16.24.165,cueing_task_exp,,2025.1.1,59.704664904256454,2025-11-14 20h16.34.643965 +0530,
→,0.5,valid,right,15,5,1,right,1,0.4805125999992015,None,1,5,15,0,32.01136889999907,,,,,,,,,31.997402599998168,32.01136889999907,32.494045799991,32.494045799991,32.79525619999913,33.0953726000007,33.0953726000007,33.578609399992274,right,1,0.4805125999992015,None,,,,02,001,2025-11-14_20h16.24.165,cueing_task_exp,,2025.1.1,59.704664904256454,2025-11-14 20h16.34.643965 +0530,
←,0.5,invalid,right,16,6,1,right,1,0.4975124000047799,None,1,6,16,9,33.593948299996555,,,,,,,,,33.58090000000084,33.593948299996555,34.07907140000316,34.07907140000316,34.37904780000099,34.67811690000235,34.67811690000235,35.17962379999517,right,1,0.4975124000047799,None,,,,02,001,2025-11-14_20h16.24.165,cueing_task_exp,,2025.1.1,59.704664904256454,2025-11-14 20h16.34.643965 +0530,
