study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,Test_words,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
poster,0,0,0,1.3518518518518519,3.8900229001883417,,,,,,,,,,,,0,0,0,14,,,,,0.04744530003517866,,0.03058200003579259,0.04744530003517866,0.04744530003517866,4.005914599867538,1.3518518518518519,3.8900229001883417,,,,,,,,,,,,,,,,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
phone,1,1,0,1.7518518518518518,6.415328799979761,,,,,,,,,,,,0,1,1,2,,,,,4.02255619992502,,4.010562099982053,4.02255619992502,4.02255619992502,10.442187699954957,1.7518518518518518,6.415328799979761,,,,,,,,,,,,,,,,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
cruise,2,2,0,2.0185185185185186,6.530116999987513,,,,,,,,,,,,0,2,2,11,,,,,10.456780900014564,,10.4459464000538,10.456780900014564,10.456780900014564,16.991656800033525,2.0185185185185186,6.530116999987513,,,,,,,,,,,,,,,,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
laptop,3,3,0,2.503703703703704,3.5786653999239206,,,,,,,,,,,,0,3,3,5,,,,,17.00969889992848,,16.997624299954623,17.00969889992848,17.00969889992848,20.59255059994757,2.503703703703704,3.5786653999239206,,,,,,,,,,,,,,,,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
book,4,4,0,1.1444444444444444,3.847628999967128,,,,,,,,,,,,0,4,4,0,,,,,20.60924099991098,,20.595702499849722,20.60924099991098,20.60924099991098,24.457161800004542,1.1444444444444444,3.847628999967128,,,,,,,,,,,,,,,,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
marble ,5,5,0,1.8407407407407408,2.7988409001845866,,,,,,,,,,,,0,5,5,3,,,,,24.474961000028998,,24.459690999938175,24.474961000028998,24.474961000028998,27.275262099923566,1.8407407407407408,2.7988409001845866,,,,,,,,,,,,,,,,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
t-shirt,6,6,0,2.4185185185185185,2.961529100080952,,,,,,,,,,,,0,6,6,7,,,,,27.29584679985419,,27.281150799943134,27.29584679985419,27.29584679985419,30.257978399982676,2.4185185185185185,2.961529100080952,,,,,,,,,,,,,,,,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
chart,7,7,0,2.022222222222222,3.5328406000044197,,,,,,,,,,,,0,7,7,6,,,,,30.273288999916986,,30.26071699988097,30.273288999916986,30.273288999916986,33.80878719990142,2.022222222222222,3.5328406000044197,,,,,,,,,,,,,,,,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
case,8,8,0,1.5703703703703704,3.015218400163576,,,,,,,,,,,,0,8,8,10,,,,,33.823794399853796,,33.81119480007328,33.823794399853796,33.823794399853796,36.84111519996077,1.5703703703703704,3.015218400163576,,,,,,,,,,,,,,,,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
police,9,9,0,2.7592592592592595,3.315757199889049,,,,,,,,,,,,0,9,9,12,,,,,36.85799050005153,,36.84356669988483,36.85799050005153,36.85799050005153,40.17630139994435,2.7592592592592595,3.315757199889049,,,,,,,,,,,,,,,,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
