delay,freq,conditions,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.1,1000,exp,15,15,0,space,0.13983380002900958,None,100,1,[3.924415900022723],[3.924430700019002],0,15,15,12,108.74244539998472,,108.72778900002595,108.74244539998472,109.74250329995994,109.74250329995994,109.74250329995994,109.89359059999697,space,0.13983380002900958,None,109.89483120001387,110.00913266669183,110.32314580003731,110.3048341999529,110.30546790000517,110.32314580003731,110.32314580003731,110.32314580003731,114.24801949993707,100,1,[3.924415900022723],[3.924430700019002],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.4,1000,exp,16,0,1,space,0.2656166000524536,None,400,1,[7.33434549998492],[7.3343538999324664],1,0,16,10,114.26372829999309,,114.24823989998549,114.26372829999309,115.2478830999462,115.2478830999462,115.26479559997097,115.51544139999896,space,0.2656166000524536,None,115.51624859997537,115.93136956665354,116.24568069993984,116.2270338999806,116.22783320001327,116.24568069993984,116.24568069993984,116.24568069993984,123.58037879993208,400,1,[7.33434549998492],[7.3343538999324664],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.1,400,unexp,17,1,1,space,0.3397157998988405,None,560,1,[9.80847370007541],[9.808483300032094],1,1,17,3,123.59692090004683,,123.58065839996561,123.59692090004683,124.58142319996841,124.58142319996841,124.59746319998521,124.93111330003012,space,0.3397157998988405,None,124.9320432000095,125.03104976663987,125.34611209994182,125.32833049993496,125.32894709997345,125.34611209994182,125.34611209994182,125.34611209994182,135.155046400032,560,1,[9.80847370007541],[9.808483300032094],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.7,1000,exp,18,2,1,space,0.43153940001502633,None,400,1,[4.437785199959762],[4.437803899985738],1,2,18,11,135.1690905999858,,135.15536770003382,135.1690905999858,136.1694056999404,136.1694056999404,136.1694056999404,136.60467000002973,space,0.43153940001502633,None,136.6054441999877,137.32012216659885,137.63560060004238,137.61839379998855,137.61908999993466,137.63560060004238,137.63560060004238,137.63560060004238,142.07373249996454,400,1,[4.437785199959762],[4.437803899985738],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.7,1000,exp,19,3,1,space,0.6234741999069229,None,600,1,[8.207434799987823],[8.20744739996735],1,3,19,14,142.08926879998762,,142.07394639996346,142.08926879998762,143.07339769997634,143.07339769997634,143.0897954000393,143.70746790000703,space,0.6234741999069229,None,143.7084112999728,144.40757926664472,144.72626939998008,144.7096629999578,144.71030949999113,144.72626939998008,144.72626939998008,144.72626939998008,152.93406480003614,600,1,[8.207434799987823],[8.20744739996735],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.7,1000,exp,20,4,1,space,0.2622337000211701,None,200,1,[2.653530800016597],[2.6535389999626204],1,4,20,8,152.94954770000186,,152.93426789995283,152.94954770000186,153.9330286999466,153.9330286999466,153.94995060004294,154.2001323000295,space,0.2622337000211701,None,154.20087089994922,154.8992677666868,155.21382109995466,155.1994184999494,155.1997978000436,155.21382109995466,155.21382109995466,155.21382109995466,157.86768160003703,200,1,[2.653530800016597],[2.6535389999626204],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.1,1000,exp,21,5,1,space,0.2764822000171989,None,150,1,[2.657438400085084],[2.657444900018163],1,5,21,9,157.8829240000341,,157.86794469994493,157.8829240000341,158.86663239996415,158.86663239996415,158.88332180003636,159.15092789998744,space,0.2764822000171989,None,159.1516857999377,159.26648546668392,159.58583959995303,159.56834550003987,159.56888489995617,159.58583959995303,159.58583959995303,159.58583959995303,162.24361220002174,150,1,[2.657438400085084],[2.657444900018163],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.1,400,unexp,22,6,1,space,0.2902807999635115,None,650,1,[2.4352532000048086],[2.4352657000999898],1,6,22,0,162.25929830002133,,162.243826800026,162.25929830002133,163.2429025999736,163.2429025999736,163.26004359999206,163.5441581000341,space,0.2902807999635115,None,163.54476580000482,163.66040836665005,163.97774170001503,163.96287419996224,163.96344389999285,163.97774170001503,163.97774170001503,163.97774170001503,166.41345039999578,650,1,[2.4352532000048086],[2.4352657000999898],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.7,400,unexp,23,7,1,space,0.3252257000422105,None,750,1,[2.6217122999951243],[2.621724499971606],1,7,23,2,166.42915520002134,,166.4136514000129,166.42915520002134,167.41349359997548,167.41349359997548,167.42979129997548,167.74811549996957,space,0.3252257000422105,None,167.7489104999695,168.46367206663516,168.78174310002942,168.7636406000238,168.76418990001548,168.78174310002942,168.78174310002942,168.78174310002942,171.40392489999067,750,1,[2.6217122999951243],[2.621724499971606],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.7,1000,exp,24,8,1,space,0.69083569990471,None,250,1,[3.41854969994165],[3.418556999997236],1,8,24,5,171.41895670001395,,171.4041990999831,171.41895670001395,172.40313999995124,172.40313999995124,172.41991429997142,173.10407380003016,space,0.69083569990471,None,173.10492780001368,173.80317406665225,174.12207449995913,174.10407590004615,174.10462739993818,174.12207449995913,174.12207449995913,174.12207449995913,177.5409279000014,250,1,[3.41854969994165],[3.418556999997236],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.1,1000,exp,25,9,1,space,0.7787849999731407,None,200,1,[3.039081599912606],[3.039087599958293],1,9,25,12,177.55726150004193,,177.54113699996378,177.55726150004193,178.54110939998645,178.54110939998645,178.55767609993927,179.32558840001002,space,0.7787849999731407,None,179.3263998000184,179.42476096662384,179.73790069995448,179.72149839997292,179.72211830003653,179.73790069995448,179.73790069995448,179.73790069995448,182.7773294999497,200,1,[3.039081599912606],[3.039087599958293],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.4,1000,exp,26,10,1,space,0.28919839998707175,None,100,1,[1.7697954999748617],[1.7698015000205487],1,10,26,7,182.79275419993792,,182.77753279998433,182.79275419993792,183.7934478999814,183.7934478999814,183.7934478999814,184.0945111999754,space,0.28919839998707175,None,184.09518519998528,184.51005436660878,184.8273814000422,184.8126013999572,184.8130903999554,184.8273814000422,184.8273814000422,184.8273814000422,186.597482400015,100,1,[1.7697954999748617],[1.7698015000205487],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.1,1000,exp,27,11,1,space,0.5342785000102594,None,100,1,[1.7203436000272632],[1.7203496999572963],1,11,27,6,186.6126853999449,,186.59769069997128,186.6126853999449,187.6135959000094,187.6135959000094,187.6135959000094,188.1637501999503,space,0.5342785000102594,None,188.16447019996122,188.26348966668982,188.5758297999855,188.560358799994,188.560848299996,188.5758297999855,188.5758297999855,188.5758297999855,190.29647980001755,100,1,[1.7203436000272632],[1.7203496999572963],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.4,1000,exp,28,12,1,space,0.4393469999777153,None,210,1,[4.171631500008516],[4.171637199935503],1,12,28,13,190.31268930004444,,190.29670179996174,190.31268930004444,191.29659879999235,191.29659879999235,191.31297289999202,191.7467966999393,space,0.4393469999777153,None,191.74754140002187,192.14719446661573,192.4639059000183,192.4407752000261,192.4414764000103,192.4639059000183,192.4639059000183,192.4639059000183,196.63583759998437,210,1,[4.171631500008516],[4.171637199935503],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.4,400,unexp,29,13,1,space,0.3576777999987826,None,450,1,[5.220588100026362],[5.2205976999830455],1,13,29,1,196.6514787999913,,196.6360514999833,196.6514787999913,197.6353835000191,197.6353835000191,197.6514209000161,198.00355319993105,space,0.3576777999987826,None,198.00427140004467,198.41848946659982,198.73185480001848,198.71781399997417,198.71839930000715,198.73185480001848,198.73185480001848,198.73185480001848,203.9527342999354,450,1,[5.220588100026362],[5.2205976999830455],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.1,1000,exp,30,14,1,space,0.30402250005863607,None,170,1,[3.8528364000376314],[3.852842399966903],1,14,30,15,203.96845109993592,,203.95293589995708,203.96845109993592,204.9520491999574,204.9520491999574,204.9690795999486,205.26990890002344,space,0.30402250005863607,None,205.27071169996634,205.36945406668045,205.68331290001515,205.6655634000199,205.66611530003138,205.68331290001515,205.68331290001515,205.68331290001515,209.53651110001374,170,1,[3.8528364000376314],[3.852842399966903],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.4,1000,exp,31,15,1,space,0.4684403999708593,None,400,1,[5.530526999966241],[5.530532900011167],1,15,31,4,209.55216189997736,,209.5367957999697,209.55216189997736,210.53619210002944,210.53619210002944,210.55271129996981,211.0199477999704,space,0.4684403999708593,None,211.02099759993143,211.41954946663853,211.7327862000093,211.7153844999848,211.71634659997653,211.7327862000093,211.7327862000093,211.7327862000093,217.26362320000771,400,1,[5.530526999966241],[5.530532900011167],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.1,400,unexp,32,0,2,space,0.25858649995643646,None,500,1,[6.972449900000356],[6.972462499979883],2,0,32,0,217.27886800002307,,217.26383860001806,217.27886800002307,218.26303959998768,218.26303959998768,218.27997379994486,218.52966460003518,space,0.25858649995643646,None,218.5306044999743,218.62968096667126,218.94201390002854,218.9263111000182,218.92697999998927,218.94201390002854,218.94201390002854,218.94201390002854,225.9148833999643,500,1,[6.972449900000356],[6.972462499979883],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
0.4,1000,exp,33,1,2,space,0.2786283000605181,None,350,1,[4.487450600019656],[4.487456399947405],2,1,33,13,225.93026309995912,,225.91508930001874,225.93026309995912,226.93006689997856,226.93006689997856,226.93006689997856,227.21426139993127,space,0.2786283000605181,None,227.21490310004447,227.61351816665072,227.92781240004115,227.91001440002583,227.910590399988,227.92781240004115,227.92781240004115,227.92781240004115,232.41560609999578,350,1,[4.487450600019656],[4.487456399947405],01,001,2025-11-05_18h31.52.568,intentional_binding_exp,,2025.1.1,60.157938622099465,2025-11-05 18h32.02.820104 +0530,
