reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
29,90,94,0,0,0,t,4.161684799997602,None,0,0,0,45,0.09866619999229442,,0.09032279999519233,0.09866619999229442,1.0015330999885919,1.0015330999885919,1.1031165000022156,5.182473299995763,t,4.161684799997602,None,002,001,2025-10-28_14h06.06.443,delay_discounting_exp,,2025.1.1,59.577109761026605,2025-10-28 14h06.14.236405 +0530,
27,50,21,1,1,0,t,2.2743991000024835,None,0,1,1,2,5.1963183999905596,,5.189492299992708,5.1963183999905596,6.185180499989656,6.185180499989656,6.2026038999902084,8.469093399995472,t,2.2743991000024835,None,002,001,2025-10-28_14h06.06.443,delay_discounting_exp,,2025.1.1,59.577109761026605,2025-10-28 14h06.14.236405 +0530,
158,188,151,2,2,0,t,2.445039899990661,None,0,2,2,85,8.485290700002224,,8.47403199999826,8.485290700002224,9.468770399995265,9.468770399995265,9.485356199991656,11.920181399997091,t,2.445039899990661,None,002,001,2025-10-28_14h06.06.443,delay_discounting_exp,,2025.1.1,59.577109761026605,2025-10-28 14h06.14.236405 +0530,
112,142,6,3,3,0,t,3.3166155999933835,None,0,3,3,54,11.936351500000455,,11.92523059999803,11.936351500000455,12.936166200001026,12.936166200001026,12.952137399988715,16.269949499997892,t,3.3166155999933835,None,002,001,2025-10-28_14h06.06.443,delay_discounting_exp,,2025.1.1,59.577109761026605,2025-10-28 14h06.14.236405 +0530,
59,100,72,4,4,0,t,4.132370899998932,None,0,4,4,37,16.286163700002362,,16.274214799996116,16.286163700002362,17.269952099988586,17.269952099988586,17.286605299988878,21.404968199989526,t,4.132370899998932,None,002,001,2025-10-28_14h06.06.443,delay_discounting_exp,,2025.1.1,59.577109761026605,2025-10-28 14h06.14.236405 +0530,
115,165,203,5,5,0,t,2.4543896000104723,None,0,5,5,56,21.419864600000437,,21.4113992999919,21.419864600000437,22.404902599999332,22.404902599999332,22.419436600001063,24.87227539999003,t,2.4543896000104723,None,002,001,2025-10-28_14h06.06.443,delay_discounting_exp,,2025.1.1,59.577109761026605,2025-10-28 14h06.14.236405 +0530,
189,213,9,6,6,0,l,2.418990699996357,None,0,6,6,96,24.886326399995596,,24.876188499998534,24.886326399995596,25.87089809999452,25.87089809999452,25.888047299988102,28.305210599995917,l,2.418990699996357,None,002,001,2025-10-28_14h06.06.443,delay_discounting_exp,,2025.1.1,59.577109761026605,2025-10-28 14h06.14.236405 +0530,
101,119,100,7,7,0,t,1.505122600006871,None,0,7,7,80,28.319701200001873,,28.309086399996886,28.319701200001873,29.319932699989295,29.319932699989295,29.319932699989295,30.83761059999233,t,1.505122600006871,None,002,001,2025-10-28_14h06.06.443,delay_discounting_exp,,2025.1.1,59.577109761026605,2025-10-28 14h06.14.236405 +0530,
76,100,205,8,8,0,t,2.044583800001419,None,0,8,8,10,30.852802900000825,,30.84070069999143,30.852802900000825,31.83656239999982,31.83656239999982,31.852965300000506,33.8875732000015,t,2.044583800001419,None,002,001,2025-10-28_14h06.06.443,delay_discounting_exp,,2025.1.1,59.577109761026605,2025-10-28 14h06.14.236405 +0530,
215,250,82,9,9,0,t,2.8209247999911895,None,0,9,9,55,33.90378919999057,,33.89030769999954,33.90378919999057,34.8868233999965,34.8868233999965,34.904186100000516,37.72068739999668,t,2.8209247999911895,None,002,001,2025-10-28_14h06.06.443,delay_discounting_exp,,2025.1.1,59.577109761026605,2025-10-28 14h06.14.236405 +0530,
