reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
80,101,14,0,0,0,t,8.364917400002014,None,0,0,0,17,0.11555930000031367,,0.10426969999389257,0.11555930000031367,1.0099176999938209,1.0099176999938209,1.1269897999882232,9.396149799998966,t,8.364917400002014,None,003,001,2025-10-28_14h35.35.883,delay_discounting_exp,,2025.1.1,59.8774070009747,2025-10-28 14h35.50.638906 +0530,
99,111,88,1,1,0,t,10.668570100009674,None,0,1,1,50,9.415479299990693,,9.405297699995572,9.415479299990693,10.401598700002069,10.401598700002069,10.416570999994292,21.08519410000008,t,10.668570100009674,None,003,001,2025-10-28_14h35.35.883,delay_discounting_exp,,2025.1.1,59.8774070009747,2025-10-28 14h35.50.638906 +0530,
29,90,94,2,2,0,l,7.173592599996482,None,0,2,2,45,21.101340399996843,,21.09260199998971,21.101340399996843,22.084931499994127,22.084931499994127,22.102321300000767,29.26888329999929,l,7.173592599996482,None,003,001,2025-10-28_14h35.35.883,delay_discounting_exp,,2025.1.1,59.8774070009747,2025-10-28 14h35.50.638906 +0530,
82,90,71,3,3,0,t,2.6952740999986418,None,0,3,3,42,29.287825699997484,,29.27765499999805,29.287825699997484,30.284717799993814,30.284717799993814,30.301886799992644,32.984445800000685,t,2.6952740999986418,None,003,001,2025-10-28_14h35.35.883,delay_discounting_exp,,2025.1.1,59.8774070009747,2025-10-28 14h35.50.638906 +0530,
38,60,4,4,4,0,l,4.8159601999941515,None,0,4,4,26,33.00086729999748,,32.99014670000179,33.00086729999748,33.984110799996415,33.984110799996415,34.00131859999965,38.80292329999793,l,4.8159601999941515,None,003,001,2025-10-28_14h35.35.883,delay_discounting_exp,,2025.1.1,59.8774070009747,2025-10-28 14h35.50.638906 +0530,
28,51,150,5,5,0,t,4.67270730000746,None,0,5,5,40,38.81916369999817,,38.81137049999961,38.81916369999817,39.80150639999192,39.80150639999192,39.819496799987974,44.48599329999706,t,4.67270730000746,None,003,001,2025-10-28_14h35.35.883,delay_discounting_exp,,2025.1.1,59.8774070009747,2025-10-28 14h35.50.638906 +0530,
41,70,63,6,6,0,t,2.137200799988932,None,0,6,6,53,44.50338229999761,,44.48953449999681,44.50338229999761,45.485490299994126,45.485490299994126,45.52184000000125,47.636192799996934,t,2.137200799988932,None,003,001,2025-10-28_14h35.35.883,delay_discounting_exp,,2025.1.1,59.8774070009747,2025-10-28 14h35.50.638906 +0530,
6,51,73,7,7,0,t,1.4608477000001585,None,0,7,7,13,47.65161819999048,,47.64056580000033,47.65161819999048,48.63735629999428,48.63735629999428,48.6518395000021,50.10332719999133,t,1.4608477000001585,None,003,001,2025-10-28_14h35.35.883,delay_discounting_exp,,2025.1.1,59.8774070009747,2025-10-28 14h35.50.638906 +0530,
7,20,230,8,8,0,t,4.061222700009239,None,0,8,8,33,50.118288699988625,,50.10760289999598,50.118288699988625,51.10239439998986,51.10239439998986,51.118805299993255,55.17161910000141,t,4.061222700009239,None,003,001,2025-10-28_14h35.35.883,delay_discounting_exp,,2025.1.1,59.8774070009747,2025-10-28 14h35.50.638906 +0530,
49,60,89,9,9,0,t,6.343300699998508,None,0,9,9,4,55.18558169998869,,55.1767542000016,55.18558169998869,56.17120769999747,56.17120769999747,56.18738959998882,62.521691599991755,t,6.343300699998508,None,003,001,2025-10-28_14h35.35.883,delay_discounting_exp,,2025.1.1,59.8774070009747,2025-10-28 14h35.50.638906 +0530,
