reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
115,165,203,0,0,0,t,6.690853699998115,None,0,0,0,56,0.12528240000392543,,0.11576659999991534,0.12528240000392543,1.0104302000036114,1.0104302000036114,1.127023500004725,7.804754400000093,t,6.690853699998115,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
99,111,88,1,1,0,t,3.7033191000009538,None,0,1,1,50,7.815868400000909,,7.81115359999967,7.815868400000909,8.820405400001619,8.820405400001619,8.820405400001619,12.536984700003813,t,3.7033191000009538,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
44,55,39,2,2,0,t,5.982327399993665,None,0,2,2,38,12.552556300004653,,12.54179390000354,12.552556300004653,13.536227500000678,13.536227500000678,13.553954700000759,19.52016939999885,t,5.982327399993665,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
103,144,73,3,3,0,t,5.374654599996575,None,0,3,3,92,19.53616940000211,,19.52495220000128,19.53616940000211,20.52074050000374,20.52074050000374,20.536824599999818,25.904039699998975,t,5.374654599996575,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
11,30,7,4,4,0,l,3.4824643000029027,None,0,4,4,0,25.920166900003096,,25.906506300001638,25.920166900003096,26.903372400003718,26.903372400003718,26.920984600001248,30.387400100000377,l,3.4824643000029027,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
111,150,187,5,5,0,l,4.787068199999339,None,0,5,5,47,30.404140900005586,,30.38983260000532,30.404140900005586,31.387116600002628,31.387116600002628,31.404934300000605,36.18849230000342,l,4.787068199999339,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
6,51,73,6,6,0,l,3.4094888999970863,None,0,6,6,13,36.20404140000028,,36.1909994000016,36.20404140000028,37.18752400000085,37.18752400000085,37.20543590000307,40.60472210000444,l,3.4094888999970863,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
73,84,42,7,7,0,t,2.6719013000038103,None,0,7,7,41,40.620968499999435,,40.60701580000023,40.620968499999435,41.60445460000483,41.60445460000483,41.62106399999902,44.288105200001155,t,2.6719013000038103,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
66,110,10,8,8,0,l,2.627629700000398,None,0,8,8,36,44.30461220000143,,44.29035610000574,44.30461220000143,45.28804350000428,45.28804350000428,45.30533700000524,47.92299560000538,l,2.627629700000398,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
21,31,35,9,9,0,t,5.108535100000154,None,0,9,9,19,47.93829950000509,,47.92584060000081,47.93829950000509,48.93810840000515,48.93810840000515,48.93810840000515,54.05567169999995,t,5.108535100000154,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
104,110,48,10,10,0,t,2.8955426000029547,None,0,10,10,69,54.07154029999947,,54.05829090000043,54.07154029999947,55.05610159999924,55.05610159999924,55.07168050000473,57.95589390000532,t,2.8955426000029547,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
20,25,137,11,11,0,t,5.857468200003495,None,0,11,11,64,57.97287730000244,,57.95948160000262,57.97287730000244,58.95598959999916,58.95598959999916,58.97220500000549,64.8244027000037,t,5.857468200003495,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
98,300,45,12,12,0,l,4.6757818999976735,None,0,12,12,12,64.83932400000049,,64.82687760000408,64.83932400000049,65.83934540000337,65.83934540000337,65.83934540000337,70.52379900000233,l,4.6757818999976735,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
156,210,120,13,13,0,l,6.053828399999475,None,0,13,13,63,70.60224800000287,,70.5969516000041,70.60224800000287,71.52416449999873,71.52416449999873,71.60629719999997,77.59016260000499,l,6.053828399999475,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
76,100,205,14,14,0,t,4.613222100000712,None,0,14,14,10,77.60727970000153,,77.59245100000408,77.60727970000153,78.59118930000113,78.59118930000113,78.60640140000032,83.20692989999952,t,4.613222100000712,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
81,90,12,15,15,0,t,3.15512299999682,None,0,15,15,9,83.223768200005,,83.2092679999987,83.223768200005,84.20695140000316,84.20695140000316,84.22478020000563,87.37419520000549,t,3.15512299999682,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
25,32,16,16,16,0,l,20.128793800002313,None,0,16,16,75,87.39018590000342,,87.37647800000559,87.39018590000342,88.37354340000456,88.37354340000456,88.39139400000568,108.508436600001,l,20.128793800002313,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
68,94,15,17,17,0,l,2.2590393999998923,None,0,17,17,43,108.52507780000451,,108.51105440000538,108.52507780000451,109.50957550000021,109.50957550000021,109.52521870000055,111.77527140000166,l,2.2590393999998923,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
76,99,195,18,18,0,t,2.477569999995467,None,0,18,18,73,111.79210140000214,,111.77746060000209,111.79210140000214,112.77519600000232,112.77519600000232,112.79230459999962,115.25904530000116,t,2.477569999995467,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
161,202,24,19,19,0,l,1.8541114000036032,None,0,19,19,52,115.2764443000051,,115.26164570000401,115.2764443000051,116.25871810000535,116.25871810000535,116.29337800000212,118.12621620000573,l,1.8541114000036032,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
85,105,13,20,20,0,l,13.693070300003455,None,0,20,20,78,118.14281800000026,,118.12876050000341,118.14281800000026,119.12592980000045,119.12592980000045,119.14377120000427,132.8266941000038,l,13.693070300003455,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
52,96,8,21,21,0,t,4.564600400000927,None,0,21,21,11,132.84305329999916,,132.82979260000138,132.84305329999916,133.82664050000312,133.82664050000312,133.84274930000538,138.393178600003,t,4.564600400000927,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
90,143,58,22,22,0,l,3.3615022000012686,None,0,22,22,65,138.40987920000043,,138.39544849999947,138.40987920000043,139.39336800000456,139.39336800000456,139.41127219999908,142.76068010000017,l,3.3615022000012686,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
123,142,61,23,23,0,t,3.0130362000054447,None,0,23,23,82,142.77692810000008,,142.7632064999998,142.77692810000008,143.76157439999952,143.76157439999952,143.7764565000034,146.7773073999997,t,3.0130362000054447,None,001,001,2025-10-28_12h09.40.431,delay_discounting_exp,,2025.1.1,60.00726087796803,2025-10-28 12h09.47.210914 +0530,
