cue_arrow,target_x,condition,corr_Ans,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,start_key.started,welcome.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,fixation.stopped,cue_text.started,cue_text.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thankyou.started,text.started,text.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.006915100006153807,0.021558100008405745,0.021558100008405745,6.318786599993473,space,6.270873300003586,None,,,,,,,,,,,,,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,0,0,0,left,1,0.5159417999966536,None,0,0,0,6,6.352000100014266,,,,,,,,,6.342095600004541,6.352000100014266,6.828990900015924,6.828990900015924,7.12926410001819,7.429090000019642,7.429090000019642,7.946210800000699,left,1,0.5159417999966536,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,1,1,0,right,1,0.20765620001475327,None,0,1,1,3,7.962406700011343,,,,,,,,,7.950504000007641,7.962406700011343,8.445759800000815,8.445759800000815,8.745632800011663,9.045523800014053,9.045523800014053,9.263029800000368,right,1,0.20765620001475327,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,2,2,0,right,1,0.36370159999933094,None,0,2,2,0,9.279694500000915,,,,,,,,,9.263440100010484,9.279694500000915,9.762509099993622,9.762509099993622,10.062896799994633,10.363268999994034,10.363268999994034,10.729799599997932,right,1,0.36370159999933094,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,3,3,0,left,1,0.4447844999958761,None,0,3,3,5,10.745692299999064,,,,,,,,,10.731506600015564,10.745692299999064,11.22911060001934,11.22911060001934,11.52913539999281,11.82899800001178,11.82899800001178,12.279700400016736,left,1,0.4447844999958761,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,-0.5,invalid,left,4,4,0,right,0,0.14821610000217333,None,0,4,4,8,12.295624299993506,,,,,,,,,12.281920500012347,12.295624299993506,12.779584500007331,12.779584500007331,13.079217099992093,13.379545700008748,13.379545700008748,13.529532200016547,right,0,0.14821610000217333,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,5,5,0,right,1,0.7560402999806684,None,0,5,5,2,13.546246500016423,,,,,,,,,13.529879000008805,13.546246500016423,14.029126600013115,14.029126600013115,14.3297586000117,14.629258800006937,14.629258800006937,15.396483599994099,right,1,0.7560402999806684,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,6,6,0,left,1,0.25203880001208745,None,0,6,6,4,15.413191100000404,,,,,,,,,15.398790700011887,15.413191100000404,15.896238799992716,15.896238799992716,16.195844500005478,16.49576970000635,16.49576970000635,16.76314480000292,left,1,0.25203880001208745,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,7,7,0,left,1,0.3335957999806851,None,0,7,7,1,16.779163100000005,,,,,,,,,16.763676800008398,16.779163100000005,17.262545400008094,17.262545400008094,17.562655899993842,17.862714400020195,17.862714400020195,18.21323970000958,left,1,0.3335957999806851,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,0.5,invalid,right,8,8,0,left,0,0.32011050000437535,None,0,8,8,9,18.22935989999678,,,,,,,,,18.213681199995335,18.22935989999678,18.713130699994508,18.713130699994508,19.01263189999736,19.312572499999078,19.312572499999078,19.64670159999514,left,0,0.32011050000437535,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,9,9,0,left,0,0.33673039998393506,None,0,9,9,7,19.662414999998873,,,,,,,,,19.649058000009973,19.662414999998873,20.14615469999262,20.14615469999262,20.446649499994237,20.746174200001406,20.746174200001406,21.097071700001834,left,0,0.33673039998393506,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,10,0,1,left,1,0.35409949999302626,None,1,0,10,6,21.11288150001201,,,,,,,,,21.098861600010423,21.11288150001201,21.612881300010486,21.612881300010486,21.912921900016954,22.19626110000536,22.19626110000536,22.563575800013496,left,1,0.35409949999302626,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,11,1,1,right,1,0.38131860000430606,None,1,1,11,2,22.579250500013586,,,,,,,,,22.565370199998142,22.579250500013586,23.06260299999849,23.06260299999849,23.36273330001859,23.663021100015612,23.663021100015612,24.04654959999607,right,1,0.38131860000430606,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,12,2,1,left,1,0.2972402000159491,None,1,2,12,4,24.062914700014517,,,,,,,,,24.048940400010906,24.062914700014517,24.546190499997465,24.546190499997465,24.846003500017105,25.14658299999428,25.14658299999428,25.44693800000823,left,1,0.2972402000159491,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,13,3,1,left,1,0.29555849998723716,None,1,3,13,1,25.46271059999708,,,,,,,,,25.447262400004547,25.46271059999708,25.946429800009355,25.946429800009355,26.262971899996046,26.546741700003622,26.546741700003622,26.846348599996418,left,1,0.29555849998723716,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,0.5,invalid,right,14,4,1,right,1,1.45552950000274,None,1,4,14,9,26.86296779999975,,,,,,,,,26.846745599992573,26.86296779999975,27.34662450000178,27.34662450000178,27.6465726000024,27.945905200002016,27.945905200002016,29.413384400017094,right,1,1.45552950000274,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,15,5,1,left,1,0.5587828999850899,None,1,5,15,5,29.429617699992377,,,,,,,,,29.41375790000893,29.429617699992377,29.921033999999054,29.921033999999054,30.221017100004246,30.521108000015374,30.521108000015374,31.088339900015853,left,1,0.5587828999850899,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,16,6,1,right,1,0.5177900999842677,None,1,6,16,0,31.104451399995014,,,,,,,,,31.09005180001259,31.104451399995014,31.588063600007445,31.588063600007445,31.887712199997623,32.187704100011615,32.187704100011615,32.72170029999688,right,1,0.5177900999842677,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
