cue_arrow,target_x,condition,corr_Ans,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,start_key.started,welcome.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,fixation.stopped,cue_text.started,cue_text.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thankyou.started,text.started,text.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
→,0.5,valid,right,17,7,1,right,1,0.33876330000930466,None,1,7,17,3,32.73773330001859,,,,,,,,,32.72203750000335,32.73773330001859,33.22110840000096,33.22110840000096,33.521099200006574,33.82101469999179,33.82101469999179,34.171566300006816,right,1,0.33876330000930466,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,18,8,1,right,1,0.28842130000703037,None,1,8,18,7,34.18776100000832,,,,,,,,,34.17204979999224,34.18776100000832,34.671156399999745,34.671156399999745,34.97138560001622,35.2712479000038,35.2712479000038,35.5721346999926,right,1,0.28842130000703037,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,-0.5,invalid,left,19,9,1,left,1,0.7128056999936234,None,1,9,19,8,35.587744999997085,,,,,,,,,35.57267759999377,35.587744999997085,36.07150799999363,36.07150799999363,36.387719099991955,36.67129590001423,36.67129590001423,37.388335099996766,left,1,0.7128056999936234,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,20,0,2,right,1,0.3170510999916587,None,2,0,20,3,37.405475700012175,,,,,,,,,37.388895200012485,37.405475700012175,37.88800450001145,37.88800450001145,38.18756950000534,38.48817240001517,38.48817240001517,38.822076200012816,right,1,0.3170510999916587,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,-0.5,invalid,left,21,1,2,left,1,0.88147019999451,None,2,1,21,8,38.83778639999218,,,,,,,,,38.82288769999286,38.83778639999218,39.321200700011104,39.321200700011104,39.6217178000079,39.92123870001524,39.92123870001524,40.80521290001343,left,1,0.88147019999451,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,22,2,2,right,1,0.44161870001698844,None,2,2,22,7,40.8214465000201,,,,,,,,,40.805641999992076,40.8214465000201,41.30473850000999,41.30473850000999,41.604824900015956,41.90467940000235,41.90467940000235,42.355417999991914,right,1,0.44161870001698844,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,23,3,2,left,1,0.3474234000022989,None,2,3,23,5,42.371432000014465,,,,,,,,,42.35717180001666,42.371432000014465,42.85471040001721,42.85471040001721,43.154834400018444,43.45492899999954,43.45492899999954,43.80585289999726,left,1,0.3474234000022989,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,24,4,2,left,1,0.36430670000845566,None,2,4,24,6,43.82156909999321,,,,,,,,,43.806178800005,43.82156909999321,44.32136000000173,44.32136000000173,44.62161840000772,44.92160649999278,44.92160649999278,45.28874509999878,left,1,0.36430670000845566,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,25,5,2,left,1,0.376749099988956,None,2,5,25,4,45.30499050000799,,,,,,,,,45.28906199999619,45.30499050000799,45.78817280000658,45.78817280000658,46.087965700018685,46.38822280001477,46.38822280001477,46.772328299994115,left,1,0.376749099988956,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,26,6,2,right,1,0.3647249999921769,None,2,6,26,0,46.78789959999267,,,,,,,,,46.77388270001393,46.78789959999267,47.27112950000446,47.27112950000446,47.588142399996286,47.871374900016235,47.871374900016235,48.23827200001688,right,1,0.3647249999921769,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,0.5,invalid,right,27,7,2,right,1,1.1323870999913197,None,2,7,27,9,48.25472200001241,,,,,,,,,48.2400186000159,48.25472200001241,48.738384700001916,48.738384700001916,49.03805360000115,49.338080500019714,49.338080500019714,50.47178990000975,right,1,1.1323870999913197,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,28,8,2,right,1,0.5210810000135098,None,2,8,28,2,50.48806790000526,,,,,,,,,50.473698899993906,50.48806790000526,50.971435999992536,50.971435999992536,51.27130260001286,51.57134039999801,51.57134039999801,52.10532040000544,right,1,0.5210810000135098,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,29,9,2,left,1,0.2929332999920007,None,2,9,29,1,52.12120850000065,,,,,,,,,52.10739240000839,52.12120850000065,52.604659000004176,52.604659000004176,52.904867900011595,53.20477579999715,53.20477579999715,53.505526199995074,left,1,0.2929332999920007,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,30,0,3,right,1,0.3146215999731794,None,3,0,30,0,53.52139910002006,,,,,,,,,53.507545900007244,53.52139910002006,54.0047303000174,54.0047303000174,54.30486460000975,54.60479939999641,54.60479939999641,54.92201880001812,right,1,0.3146215999731794,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,0.5,invalid,right,31,1,3,right,1,0.670977200003108,None,3,1,31,9,54.93824869999662,,,,,,,,,54.92424670001492,54.93824869999662,55.42151840002043,55.42151840002043,55.72140370000852,56.0214616000012,56.0214616000012,56.7052639000176,right,1,0.670977200003108,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,32,2,3,left,1,0.4885892999882344,None,3,2,32,5,56.72151619999204,,,,,,,,,56.705703100014944,56.72151619999204,57.20475740000256,57.20475740000256,57.50485260001733,57.80455520001124,57.80455520001124,58.305857500003185,left,1,0.4885892999882344,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,33,3,3,right,1,0.38743100001011044,None,3,3,33,7,58.32281480001984,,,,,,,,,58.30762790000881,58.32281480001984,58.82159560002037,58.82159560002037,59.12162140000146,59.40501119999681,59.40501119999681,59.80532390001463,right,1,0.38743100001011044,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,34,4,3,right,1,0.16565879998961464,None,3,4,34,3,59.8216258000175,,,,,,,,,59.805732800014084,59.8216258000175,60.304910900013056,60.304910900013056,60.60489950000192,60.90536550001707,60.90536550001707,61.07269980001729,right,1,0.16565879998961464,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,35,5,3,right,1,0.3760257999820169,None,3,5,35,2,61.088459599995986,,,,,,,,,61.07317740001599,61.088459599995986,61.58842640000512,61.58842640000512,61.88827890000539,62.18823650002014,62.18823650002014,62.572081499994965,right,1,0.3760257999820169,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,36,6,3,left,1,0.2677112999954261,None,3,6,36,4,62.58816790001583,,,,,,,,,62.57485330000054,62.58816790001583,63.07163750001928,63.07163750001928,63.371739099995466,63.67174750001868,63.67174750001868,63.95543910001288,left,1,0.2677112999954261,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,37,7,3,left,1,0.2920663000259083,None,3,7,37,1,63.971698800014565,,,,,,,,,63.95583029999398,63.971698800014565,64.45500610000454,64.45500610000454,64.75507360001211,65.05503770001815,65.05503770001815,65.35554540000157,left,1,0.2920663000259083,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,-0.5,invalid,left,38,8,3,left,1,1.0459828000166453,None,3,8,38,8,65.37188540000352,,,,,,,,,65.35776360001182,65.37188540000352,65.85503969999263,65.85503969999263,66.15510989999166,66.45516710000811,66.45516710000811,67.50551519999863,left,1,1.0459828000166453,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,39,9,3,left,1,0.48780319999787025,None,3,9,39,6,67.52159320001374,,,,,,,,,67.50789989999612,67.52159320001374,68.00505480001448,68.00505480001448,68.3050518000091,68.6050579000148,68.6050579000148,69.10541290001129,left,1,0.48780319999787025,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,40,0,4,left,1,0.3512140999955591,None,4,0,40,5,69.12164369999664,,,,,,,,,69.10580210000626,69.12164369999664,69.60512920000474,69.60512920000474,69.90506600000663,70.2050344000163,70.2050344000163,70.57245100001455,left,1,0.3512140999955591,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,41,1,4,right,1,0.284559799998533,None,4,1,41,0,70.58882830000948,,,,,,,,,70.57406980000087,70.58882830000948,71.07171859999653,71.07171859999653,71.37181410001358,71.67175670000142,71.67175670000142,71.97224500001175,right,1,0.284559799998533,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,42,2,4,right,1,0.31315870000980794,None,4,2,42,7,71.98857950000092,,,,,,,,,71.9726811000146,71.98857950000092,72.47172930001398,72.47172930001398,72.77172459999565,73.07173019999755,73.07173019999755,73.39325870000175,right,1,0.31315870000980794,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,-0.5,invalid,left,43,3,4,left,1,0.6475050000008196,None,4,3,43,8,73.405207600008,,,,,,,,,73.39394720000564,73.405207600008,73.90491499999189,73.90491499999189,74.2050119000196,74.50502909999341,74.50502909999341,75.15565090000746,left,1,0.6475050000008196,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,44,4,4,left,1,0.3114837999746669,None,4,4,44,4,75.1720600000117,,,,,,,,,75.15800250001485,75.1720600000117,75.65508660001797,75.65508660001797,75.95512299999245,76.25519890000578,76.25519890000578,76.5724557999929,left,1,0.3114837999746669,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,45,5,4,left,1,0.21513710002182052,None,4,5,45,1,76.58871890002047,,,,,,,,,76.57297140001901,76.58871890002047,77.07228330001817,77.07228330001817,77.37189070001477,77.67195119999815,77.67195119999815,77.88882130000275,left,1,0.21513710002182052,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,46,6,4,right,1,0.27577999999630265,None,4,6,46,2,77.90512320000562,,,,,,,,,77.89081640000222,77.90512320000562,78.38861809999798,78.38861809999798,78.68841450000764,78.98847999999998,78.98847999999998,79.27238249999937,right,1,0.27577999999630265,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,47,7,4,left,1,0.275050199998077,None,4,7,47,6,79.28839430000517,,,,,,,,,79.27470249999897,79.28839430000517,79.771728599997,79.771728599997,80.0720043000183,80.37173579999944,80.37173579999944,80.6557904999936,left,1,0.275050199998077,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,0.5,invalid,right,48,8,4,left,0,0.3161520999856293,None,4,8,48,9,80.67196810001042,,,,,,,,,80.65624060001574,80.67196810001042,81.15537620001123,81.15537620001123,81.4556212000025,81.75531279999996,81.75531279999996,82.07266570001957,left,0,0.3161520999856293,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,49,9,4,right,1,0.49029059999156743,None,4,9,49,3,82.08907390001696,,,,,,,,,82.07580740001868,82.08907390001696,82.57259930000873,82.57259930000873,82.87227540000458,83.17190350001329,83.17190350001329,83.67241640001885,right,1,0.49029059999156743,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,50,0,5,left,1,0.28420910000568256,None,5,0,50,1,83.68870880000759,,,,,,,,,83.67497459999868,83.68870880000759,84.17185280000558,84.17185280000558,84.47198349999962,84.77199750000727,84.77199750000727,85.07252580000204,left,1,0.28420910000568256,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,51,1,5,left,1,0.3036507999931928,None,5,1,51,6,85.08866249999846,,,,,,,,,85.07292390000657,85.08866249999846,85.5724801000033,85.5724801000033,85.872082100017,86.17195350001566,86.17195350001566,86.48934620001819,left,1,0.3036507999931928,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,52,2,5,right,1,0.22167999998782761,None,5,2,52,0,86.5054303999932,,,,,,,,,86.49309229999199,86.5054303999932,86.98877389999689,86.98877389999689,87.28879500000039,87.58883140000398,87.58883140000398,87.822994200018,right,1,0.22167999998782761,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,0.5,invalid,right,53,3,5,right,1,0.8399205999739934,None,5,3,53,9,87.83882710000034,,,,,,,,,87.82555110001704,87.83882710000034,88.32255740000983,88.32255740000983,88.62251330001163,88.92203220000374,88.92203220000374,89.77270960001624,right,1,0.8399205999739934,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,-0.5,invalid,left,54,4,5,left,1,0.9638877000252251,None,5,4,54,8,89.78897600001073,,,,,,,,,89.77518490000512,89.78897600001073,90.27218220001669,90.27218220001669,90.57219310000073,90.87227859999985,90.87227859999985,91.83940399999847,left,1,0.9638877000252251,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,55,5,5,right,1,0.3272753999917768,None,5,5,55,7,91.85541869999724,,,,,,,,,91.83984910001163,91.85541869999724,92.33886930000153,92.33886930000153,92.63887480000267,92.93899090000195,92.93899090000195,93.27270729999873,right,1,0.3272753999917768,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,56,6,5,right,1,0.25800219998927787,None,5,6,56,2,93.28878319999785,,,,,,,,,93.27318469999591,93.28878319999785,93.77229680001619,93.77229680001619,94.07225389999803,94.3722562000039,94.3722562000039,94.63918290002039,right,1,0.25800219998927787,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,57,7,5,right,1,0.2514608000055887,None,5,7,57,3,94.6554865000071,,,,,,,,,94.63967689999845,94.6554865000071,95.13890230000834,95.13890230000834,95.4388256999955,95.73889700000291,95.73889700000291,96.00615530001232,right,1,0.2514608000055887,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,58,8,5,left,1,0.28666810001595877,None,5,8,58,4,96.02223600001889,,,,,,,,,96.00953969999682,96.02223600001889,96.50568360000034,96.50568360000034,96.80560640001204,97.10561920001055,97.10561920001055,97.40631740001845,left,1,0.28666810001595877,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,59,9,5,left,1,0.25068179998197593,None,5,9,59,5,97.42240030001267,,,,,,,,,97.40680379999685,97.42240030001267,97.90576550000696,97.90576550000696,98.20557879999978,98.50569660001202,98.50569660001202,98.77274010001565,left,1,0.25068179998197593,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,60,0,6,right,1,0.6100034999835771,None,6,0,60,3,98.78880390000995,,,,,,,,,98.77523970001494,98.78880390000995,99.27230330000748,99.27230330000748,99.57254230001126,99.8723020000034,99.8723020000034,100.48974910000106,right,1,0.6100034999835771,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,0.5,valid,right,61,1,6,right,1,0.5005715000152122,None,6,1,61,7,100.50585780001711,,,,,,,,,100.49022780000814,100.50585780001711,100.98905269999523,100.98905269999523,101.28891500001191,101.58909730002051,101.58909730002051,102.10628740000539,right,1,0.5005715000152122,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
←,-0.5,valid,left,62,2,6,left,1,0.3358048999798484,None,6,2,62,6,102.12233430001652,,,,,,,,,102.10919800002011,102.12233430001652,102.60601210000459,102.60601210000459,102.9070813000144,103.20563290000428,103.20563290000428,103.55621730000712,left,1,0.3358048999798484,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
→,-0.5,invalid,left,63,3,6,left,1,0.992316900024889,None,6,3,63,8,103.5723527999944,,,,,,,,,103.55862260001595,103.5723527999944,104.05576930000097,104.05576930000097,104.35570539999753,104.65564889999223,104.65564889999223,105.65624410001328,left,1,0.992316900024889,None,,,,,05,001,2025-11-15_01h35.53.183,cueing_task_exp,,2025.1.1,60.18215936681601,2025-11-15 01h36.00.906808 +0530,
