pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,routine_2.started,fixation_2.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation_2.stopped,probe_2.started,key_resp_2.started,routine_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.1142058999976143,None,,,,,0,0,0,0,,,,,0.03106060001300648,,0.01853800000390038,0.03106060001300648,1.001351999992039,1.001351999992039,1.001351999992039,1.001351999992039,1.0344268000044394,2.000286299997242,2.000286299997242,3.129677399992943,x,1,1.1142058999976143,None,,,,,,,,,,,,,,,333,001,2025-10-02_01h35.33.085,Motor_sequence_exp,,2025.1.1,59.89731204728148,2025-10-02 01h35.46.788180 +0530,
150,v,1,1,0,v,1,0.9903687000041828,None,,,,,0,1,1,1,,,,,3.1401066000107676,,3.1300921000074595,3.1401066000107676,4.133298500004457,4.133298500004457,4.133298500004457,4.133298500004457,4.150704300001962,5.134318500000518,5.134318500000518,6.133989099995233,v,1,0.9903687000041828,None,,,,,,,,,,,,,,,333,001,2025-10-02_01h35.33.085,Motor_sequence_exp,,2025.1.1,59.89731204728148,2025-10-02 01h35.46.788180 +0530,
50,c,2,2,0,c,1,1.2846270000154618,None,,,,,0,2,2,2,,,,,6.150332799996249,,6.134393899992574,6.150332799996249,7.134090100007597,7.134090100007597,7.134090100007597,7.134090100007597,7.151017800002592,8.134098100010306,8.134098100010306,9.433320000011008,c,1,1.2846270000154618,None,,,,,,,,,,,,,,,333,001,2025-10-02_01h35.33.085,Motor_sequence_exp,,2025.1.1,59.89731204728148,2025-10-02 01h35.46.788180 +0530,
-150,z,3,3,0,z,1,0.7892366000160109,None,,,,,0,3,3,3,,,,,9.4506226000085,,9.433843100006925,9.4506226000085,10.434538500005146,10.434538500005146,10.434538500005146,10.434538500005146,10.450800399994478,11.43263530000695,11.43263530000695,12.232788399996934,z,1,0.7892366000160109,None,,,,,,,,,,,,,,,333,001,2025-10-02_01h35.33.085,Motor_sequence_exp,,2025.1.1,59.89731204728148,2025-10-02 01h35.46.788180 +0530,
-50,x,4,0,1,x,1,0.7398826999997254,None,,,,,1,0,4,0,,,,,12.249640399997588,,12.233089599991217,12.249640399997588,13.2330912000034,13.2330912000034,13.2330912000034,13.2330912000034,13.24989249999635,14.233145700010937,14.233145700010937,14.983505100011826,x,1,0.7398826999997254,None,,,,,,,,,,,,,,,333,001,2025-10-02_01h35.33.085,Motor_sequence_exp,,2025.1.1,59.89731204728148,2025-10-02 01h35.46.788180 +0530,
150,v,5,1,1,v,1,0.8281086999922991,None,,,,,1,1,5,1,,,,,14.999100599990925,,14.983968400018057,14.999100599990925,15.999301200004993,15.999301200004993,15.999301200004993,15.999301200004993,15.999301200004993,17.00014459999511,17.00014459999511,17.83362570000463,v,1,0.8281086999922991,None,,,,,,,,,,,,,,,333,001,2025-10-02_01h35.33.085,Motor_sequence_exp,,2025.1.1,59.89731204728148,2025-10-02 01h35.46.788180 +0530,
50,c,6,2,1,c,1,0.710558899998432,None,,,,,1,2,6,2,,,,,17.849498399998993,,17.833934199996293,17.849498399998993,18.83315789999324,18.83315789999324,18.83315789999324,18.83315789999324,18.849235600006068,19.83336380001856,19.83336380001856,20.55874959999346,c,1,0.710558899998432,None,,,,,,,,,,,,,,,333,001,2025-10-02_01h35.33.085,Motor_sequence_exp,,2025.1.1,59.89731204728148,2025-10-02 01h35.46.788180 +0530,
-150,z,7,3,1,z,1,0.9265393000096083,None,,,,,1,3,7,3,,,,,20.574031500000274,,20.559126100008143,20.574031500000274,21.55835430001025,21.55835430001025,21.55835430001025,21.55835430001025,21.57435870001791,22.55755220001447,22.55755220001447,23.492800600011833,z,1,0.9265393000096083,None,,,,,,,,,,,,,,,333,001,2025-10-02_01h35.33.085,Motor_sequence_exp,,2025.1.1,59.89731204728148,2025-10-02 01h35.46.788180 +0530,
-50,x,8,0,2,x,1,0.7646871999895666,None,,,,,2,0,8,0,,,,,23.507320000004256,,23.493402199994307,23.507320000004256,24.508052499993937,24.508052499993937,24.508052499993937,24.508052499993937,24.508052499993937,25.508475900016492,25.508475900016492,26.276390999992145,x,1,0.7646871999895666,None,,,,,,,,,,,,,,,333,001,2025-10-02_01h35.33.085,Motor_sequence_exp,,2025.1.1,59.89731204728148,2025-10-02 01h35.46.788180 +0530,
150,v,9,1,2,v,1,0.8185661000024993,None,,,,,2,1,9,1,,,,,26.291949900012696,,26.276932800014038,26.291949900012696,27.27540909999516,27.27540909999516,27.27540909999516,27.27540909999516,27.29333030001726,28.276567199995043,28.276567199995043,29.10871960001532,v,1,0.8185661000024993,None,,,,,,,,,,,,,,,333,001,2025-10-02_01h35.33.085,Motor_sequence_exp,,2025.1.1,59.89731204728148,2025-10-02 01h35.46.788180 +0530,
