thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.3194444444444444)],[np.float64(-0.030555555555555555)],[1],[0],[0],[3.11217089999991],['target'],0,0,0,0,0.054976699999315315,,10,0.03828419999990729,0.054976699999315315,0.054976699999315315,0.03832490000058897,3.1505385999989812,[np.float64(-0.3194444444444444)],[np.float64(-0.030555555555555555)],[1],[0],[0],[3.11217089999991],['target'],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
1,0,1,[np.float64(0.11388888888888889)],[np.float64(0.12962962962962962)],[1],[0],[0],[2.4684424999995827],[None],1,0,1,0,3.17526480000015,,5,3.164551500000016,3.17526480000015,3.17526480000015,0.013862200001312885,5.633090799999991,[np.float64(0.11388888888888889)],[np.float64(0.12962962962962962)],[1],[0],[0],[2.4684424999995827],[None],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
2,0,2,[np.float64(-0.26944444444444443)],[np.float64(0.3990740740740741)],[1],[0],[0],[2.5805202000010468],['target'],2,0,2,0,5.679320299999745,,10,5.661341999999422,5.679320299999745,5.679320299999745,0.028127700001277844,8.24195569999938,[np.float64(-0.26944444444444443)],[np.float64(0.3990740740740741)],[1],[0],[0],[2.5805202000010468],['target'],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
3,0,3,[np.float64(0.48148148148148145)],[np.float64(-0.09444444444444444)],[1],[0],[0],[3.4288123000005726],['target'],3,0,3,0,8.288456599999336,,10,8.270596599999408,8.288456599999336,8.288456599999336,0.028427199998986907,11.699492600000667,[np.float64(0.48148148148148145)],[np.float64(-0.09444444444444444)],[1],[0],[0],[3.4288123000005726],['target'],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
4,0,4,[np.float64(0.2462962962962963)],[np.float64(0.44074074074074077)],[1],[0],[0],[1.8017662999991444],['target'],4,0,4,0,11.729549300000144,,5,11.715434100000493,11.729549300000144,11.729549300000144,0.0157798999989609,13.517288400000325,[np.float64(0.2462962962962963)],[np.float64(0.44074074074074077)],[1],[0],[0],[1.8017662999991444],['target'],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
5,0,5,[np.float64(-0.30925925925925923)],[np.float64(-0.03796296296296296)],[1],[0],[0],[5.400233299998945],['target'],5,0,5,0,13.566595099999176,,10,13.5493979999992,13.566595099999176,13.566595099999176,0.031979499999579275,18.94972240000061,[np.float64(-0.30925925925925923)],[np.float64(-0.03796296296296296)],[1],[0],[0],[5.400233299998945],['target'],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
6,0,6,[np.float64(0.1287037037037037)],[np.float64(-0.44074074074074077)],[1],[0],[0],[1.750949799999944],['target'],6,0,6,0,18.98051459999988,,5,18.96694260000004,18.98051459999988,18.98051459999988,0.017048300000169547,20.71797390000029,[np.float64(0.1287037037037037)],[np.float64(-0.44074074074074077)],[1],[0],[0],[1.750949799999944],['target'],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
7,0,7,[np.float64(0.22962962962962963)],[np.float64(-0.44722222222222224)],[1],[0],[0],[2.3253067000005103],[None],7,0,7,0,20.767488499999672,,10,20.749641899999915,20.767488499999672,20.767488499999672,0.03151869999965129,23.075037599999632,[np.float64(0.22962962962962963)],[np.float64(-0.44722222222222224)],[1],[0],[0],[2.3253067000005103],[None],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
8,0,8,[np.float64(-0.15185185185185185)],[np.float64(0.12222222222222222)],[1],[0],[0],[1.4858291000000463],['target'],8,0,8,0,23.106029099999432,,5,23.091049999999086,23.106029099999432,23.106029099999432,0.015853099999731057,24.576980800000456,[np.float64(-0.15185185185185185)],[np.float64(0.12222222222222222)],[1],[0],[0],[1.4858291000000463],['target'],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
9,0,9,[np.float64(0.1935185185185185)],[np.float64(-0.2351851851851852)],[1],[0],[0],[1.5333475999996153],[None],9,0,9,0,24.607340399999885,,5,24.593469800000094,24.607340399999885,24.607340399999885,0.01633919999949285,26.126812299999074,[np.float64(0.1935185185185185)],[np.float64(-0.2351851851851852)],[1],[0],[0],[1.5333475999996153],[None],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
10,0,10,[np.float64(0.049074074074074076)],[np.float64(-0.31296296296296294)],[1],[0],[0],[1.534880899998825],['target'],10,0,10,0,26.155853899999784,,5,26.143032899999525,26.155853899999784,26.155853899999784,0.016092699999717297,27.67803300000014,[np.float64(0.049074074074074076)],[np.float64(-0.31296296296296294)],[1],[0],[0],[1.534880899998825],['target'],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
11,0,11,[np.float64(0.32037037037037036)],[np.float64(-0.24166666666666667)],[1],[0],[0],[3.509996599999795],['target'],11,0,11,0,27.725268599999254,,10,27.70822009999938,27.725268599999254,27.725268599999254,0.0300427000001946,31.21828689999893,[np.float64(0.32037037037037036)],[np.float64(-0.24166666666666667)],[1],[0],[0],[3.509996599999795],['target'],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
12,0,12,[np.float64(-0.4935185185185185)],[np.float64(-0.38055555555555554)],[1],[0],[0],[2.172148300000117],['target'],12,0,12,0,31.242453700000624,,5,31.230969000000186,31.242453700000624,31.242453700000624,0.012556599998788442,33.40320559999964,[np.float64(-0.4935185185185185)],[np.float64(-0.38055555555555554)],[1],[0],[0],[2.172148300000117],['target'],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
13,0,13,[np.float64(0.3148148148148148)],[np.float64(-0.0962962962962963)],[1],[0],[0],[2.6361803999989206],['target'],13,0,13,0,33.43401309999899,,5,33.4190538999992,33.43401309999899,33.43401309999899,0.015718799999376643,36.05532420000054,[np.float64(0.3148148148148148)],[np.float64(-0.0962962962962963)],[1],[0],[0],[2.6361803999989206],['target'],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
14,0,14,[np.float64(0.4111111111111111)],[np.float64(0.43333333333333335)],[1],[0],[0],[3.482971699999325],['target'],14,0,14,0,36.084896799999115,,5,36.071822599998995,36.084896799999115,36.084896799999115,0.01633109999966109,39.554878400000234,[np.float64(0.4111111111111111)],[np.float64(0.43333333333333335)],[1],[0],[0],[3.482971699999325],['target'],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
15,0,15,[np.float64(0.4703703703703704)],[np.float64(0.1)],[1],[0],[0],[2.285136100001182],['target'],15,0,15,0,39.583918399999675,,5,39.570443099999466,39.583918399999675,39.583918399999675,0.015438300000823801,41.85566359999939,[np.float64(0.4703703703703704)],[np.float64(0.1)],[1],[0],[0],[2.285136100001182],['target'],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
16,0,16,[np.float64(0.18333333333333332)],[np.float64(0.3851851851851852)],[1],[0],[0],[1.7852075999999215],['target'],16,0,16,0,41.88819639999929,,5,41.875009299999874,41.88819639999929,41.88819639999929,0.01921089999996184,43.660307599999214,[np.float64(0.18333333333333332)],[np.float64(0.3851851851851852)],[1],[0],[0],[1.7852075999999215],['target'],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
17,0,17,[np.float64(0.17222222222222222)],[np.float64(0.014814814814814815)],[1],[0],[0],[1.8334455999993224],['target'],17,0,17,0,43.690559499998926,,5,43.67636589999893,43.690559499998926,43.690559499998926,0.015915800000584568,45.50989599999957,[np.float64(0.17222222222222222)],[np.float64(0.014814814814814815)],[1],[0],[0],[1.8334455999993224],['target'],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
18,0,18,[np.float64(0.17222222222222222)],[np.float64(0.014814814814814815)],[1],[0],[0],[0.7354101999990235],[None],18,0,18,0,45.54115859999911,,5,45.526063199999044,45.54115859999911,45.54115859999911,0.016036800001529627,46.26156859999901,[np.float64(0.17222222222222222)],[np.float64(0.014814814814814815)],[1],[0],[0],[0.7354101999990235],[None],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
19,0,19,[np.float64(-0.1388888888888889)],[np.float64(-0.38981481481481484)],[1],[0],[0],[4.311600900000485],['target'],19,0,19,0,46.30816480000067,,10,46.291318399999,46.30816480000067,46.30816480000067,0.029584699999759323,50.603002100000595,[np.float64(-0.1388888888888889)],[np.float64(-0.38981481481481484)],[1],[0],[0],[4.311600900000485],['target'],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
20,0,20,[np.float64(0.18333333333333332)],[np.float64(-0.2361111111111111)],[1],[0],[0],[4.278612600000997],[None],20,0,20,0,50.65063369999916,,10,50.632800999999745,50.65063369999916,50.65063369999916,0.02963399999862304,54.911494899999525,[np.float64(0.18333333333333332)],[np.float64(-0.2361111111111111)],[1],[0],[0],[4.278612600000997],[None],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
21,0,21,[np.float64(0.3148148148148148)],[np.float64(0.40185185185185185)],[1],[0],[0],[3.297865399999864],['target'],21,0,21,0,54.956340400000045,,10,54.93914550000045,54.956340400000045,54.956340400000045,0.027488600000651786,58.23709670000062,[np.float64(0.3148148148148148)],[np.float64(0.40185185185185185)],[1],[0],[0],[3.297865399999864],['target'],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
22,0,22,[np.float64(-0.4064814814814815)],[np.float64(0.2490740740740741)],[1],[0],[0],[3.428949699999066],['target'],22,0,22,0,58.28315870000006,,10,58.26575330000014,58.28315870000006,58.28315870000006,0.028494999998656567,61.694829899999604,[np.float64(-0.4064814814814815)],[np.float64(0.2490740740740741)],[1],[0],[0],[3.428949699999066],['target'],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
23,0,23,[np.float64(-0.049074074074074076)],[np.float64(0.2759259259259259)],[1],[0],[0],[1.1774308000003657],[None],23,0,23,0,61.74500280000029,,10,61.72697010000047,61.74500280000029,61.74500280000029,0.03196610000122746,62.904547699999966,[np.float64(-0.049074074074074076)],[np.float64(0.2759259259259259)],[1],[0],[0],[1.1774308000003657],[None],5,001,2025-09-29_13h29.04.416,Visual_Search_exp,,2025.1.1,60.45342486760366,2025-09-29 13h29.12.569729 +0530,
