pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,routine_2.started,fixation_2.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation_2.stopped,probe_2.started,key_resp_2.started,routine_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.8749375999905169,None,,,,,0,0,0,0,,,,,0.0229471999919042,,0.014349700009915978,0.0229471999919042,1.1002208999998402,1.1002208999998402,1.1002208999998402,1.1002208999998402,1.108949899993604,2.001484200009145,2.001484200009145,2.982996799983084,x,1,0.8749375999905169,None,,,,,,,,,,,,,,,111,001,2025-10-01_20h04.11.512,Motor_sequence_exp,,2025.1.1,59.933497793801315,2025-10-01 20h04.22.246810 +0530,
150,v,1,1,0,v,1,1.2050645000126678,None,,,,,0,1,1,1,,,,,2.9908281000098214,,2.9832830000086688,2.9908281000098214,3.9936068000097293,3.9936068000097293,3.9936068000097293,3.9936068000097293,3.9936068000097293,4.994856999983313,4.994856999983313,6.2122474999923725,v,1,1.2050645000126678,None,,,,,,,,,,,,,,,111,001,2025-10-01_20h04.11.512,Motor_sequence_exp,,2025.1.1,59.933497793801315,2025-10-01 20h04.22.246810 +0530,
50,c,2,2,0,c,1,1.1014318999950774,None,,,,,0,2,2,2,,,,,6.227135900000576,,6.212694799993187,6.227135900000576,7.22722529998282,7.22722529998282,7.22722529998282,7.22722529998282,7.22722529998282,8.227694100001827,8.227694100001827,9.34449729998596,c,1,1.1014318999950774,None,,,,,,,,,,,,,,,111,001,2025-10-01_20h04.11.512,Motor_sequence_exp,,2025.1.1,59.933497793801315,2025-10-01 20h04.22.246810 +0530,
-150,z,3,3,0,z,1,0.666700400004629,None,,,,,0,3,3,3,,,,,9.360408699983964,,9.345019300002605,9.360408699983964,10.359954799991101,10.359954799991101,10.359954799991101,10.359954799991101,10.359954799991101,11.34497229999397,11.34497229999397,12.027858399989782,z,1,0.666700400004629,None,,,,,,,,,,,,,,,111,001,2025-10-01_20h04.11.512,Motor_sequence_exp,,2025.1.1,59.933497793801315,2025-10-01 20h04.22.246810 +0530,
-50,x,4,0,1,x,1,0.6004567999916617,None,,,,,1,0,4,0,,,,,12.043341299984604,,12.028320699988399,12.043341299984604,13.027688500005752,13.027688500005752,13.027688500005752,13.027688500005752,13.04482489998918,14.027232699998422,14.027232699998422,14.644605899986345,x,1,0.6004567999916617,None,,,,,,,,,,,,,,,111,001,2025-10-01_20h04.11.512,Motor_sequence_exp,,2025.1.1,59.933497793801315,2025-10-01 20h04.22.246810 +0530,
150,v,5,1,1,v,1,0.6160773999872617,None,,,,,1,1,5,1,,,,,14.660948700009612,,14.645124000002397,14.660948700009612,15.644328800000949,15.644328800000949,15.644328800000949,15.644328800000949,15.660686199989868,16.645384100003866,16.645384100003866,17.278021300007822,v,1,0.6160773999872617,None,,,,,,,,,,,,,,,111,001,2025-10-01_20h04.11.512,Motor_sequence_exp,,2025.1.1,59.933497793801315,2025-10-01 20h04.22.246810 +0530,
50,c,6,2,1,c,1,0.604384400008712,None,,,,,1,2,6,2,,,,,17.29390620000777,,17.278625000006286,17.29390620000777,18.294453899987275,18.294453899987275,18.294453899987275,18.294453899987275,18.294453899987275,19.27738899999531,19.27738899999531,19.89476180000929,c,1,0.604384400008712,None,,,,,,,,,,,,,,,111,001,2025-10-01_20h04.11.512,Motor_sequence_exp,,2025.1.1,59.933497793801315,2025-10-01 20h04.22.246810 +0530,
-150,z,7,3,1,z,1,0.6902670999988914,None,,,,,1,3,7,3,,,,,19.90998060000129,,19.895192600000883,19.90998060000129,20.89445799999521,20.89445799999521,20.89445799999521,20.89445799999521,20.912043199990876,21.90253809999558,21.90253809999558,22.603536699985852,z,1,0.6902670999988914,None,,,,,,,,,,,,,,,111,001,2025-10-01_20h04.11.512,Motor_sequence_exp,,2025.1.1,59.933497793801315,2025-10-01 20h04.22.246810 +0530,
-50,x,8,0,2,x,1,0.3191127000027336,None,,,,,2,0,8,0,,,,,22.61886719998438,,22.603983999986667,22.61886719998438,23.61996270000236,23.61996270000236,23.61996270000236,23.61996270000236,23.61996270000236,24.603239799995208,24.603239799995208,24.936804400000256,x,1,0.3191127000027336,None,,,,,,,,,,,,,,,111,001,2025-10-01_20h04.11.512,Motor_sequence_exp,,2025.1.1,59.933497793801315,2025-10-01 20h04.22.246810 +0530,
150,v,9,1,2,v,1,0.5208863000152633,None,,,,,2,1,9,1,,,,,24.951646000001347,,24.937212599994382,24.951646000001347,25.936046399991028,25.936046399991028,25.936046399991028,25.936046399991028,25.952853900002083,26.9358188000042,26.9358188000042,27.469801300001564,v,1,0.5208863000152633,None,,,,,,,,,,,,,,,111,001,2025-10-01_20h04.11.512,Motor_sequence_exp,,2025.1.1,59.933497793801315,2025-10-01 20h04.22.246810 +0530,
50,c,10,2,2,c,1,0.4240083000040613,None,,,,,2,2,10,2,,,,,27.48578180000186,,27.470193599991035,27.48578180000186,28.46873150000465,28.46873150000465,28.46873150000465,28.46873150000465,28.48597740000696,29.468172199995024,29.468172199995024,29.90187000000151,c,1,0.4240083000040613,None,,,,,,,,,,,,,,,111,001,2025-10-01_20h04.11.512,Motor_sequence_exp,,2025.1.1,59.933497793801315,2025-10-01 20h04.22.246810 +0530,
-150,z,11,3,2,z,1,0.5910191999864765,None,,,,,2,3,11,3,,,,,29.918485800008057,,29.90221269999165,29.918485800008057,30.901466799987247,30.901466799987247,30.901466799987247,30.901466799987247,30.918494199984707,31.90126519999467,31.90126519999467,32.501670400000876,z,1,0.5910191999864765,None,,,,,,,,,,,,,,,111,001,2025-10-01_20h04.11.512,Motor_sequence_exp,,2025.1.1,59.933497793801315,2025-10-01 20h04.22.246810 +0530,
-50,x,12,0,3,x,1,0.34627689997432753,None,,,,,3,0,12,0,,,,,32.518469400005415,,32.501962200010894,32.518469400005415,33.501236799987964,33.501236799987964,33.501236799987964,33.501236799987964,33.518833499983884,34.50113640000927,34.50113640000927,34.85175979998894,x,1,0.34627689997432753,None,,,,,,,,,,,,,,,111,001,2025-10-01_20h04.11.512,Motor_sequence_exp,,2025.1.1,59.933497793801315,2025-10-01 20h04.22.246810 +0530,
150,v,13,1,3,v,1,0.3346294999937527,None,,,,,3,1,13,1,,,,,34.868595699983416,,34.85203629999887,34.868595699983416,35.851892600010615,35.851892600010615,35.851892600010615,35.851892600010615,35.86870659998385,36.85193820000859,36.85193820000859,37.202564100007294,v,1,0.3346294999937527,None,,,,,,,,,,,,,,,111,001,2025-10-01_20h04.11.512,Motor_sequence_exp,,2025.1.1,59.933497793801315,2025-10-01 20h04.22.246810 +0530,
50,c,14,2,3,c,1,0.5478618000051938,None,,,,,3,2,14,2,,,,,37.21882249999908,,37.2028655000031,37.21882249999908,38.21895320000476,38.21895320000476,38.21895320000476,38.21895320000476,38.21895320000476,39.21821399999317,39.21821399999317,39.76860869998927,c,1,0.5478618000051938,None,,,,,,,,,,,,,,,111,001,2025-10-01_20h04.11.512,Motor_sequence_exp,,2025.1.1,59.933497793801315,2025-10-01 20h04.22.246810 +0530,
-150,z,15,3,3,z,1,0.4767428000050131,None,,,,,3,3,15,3,,,,,39.78486449999036,,39.76887669999269,39.78486449999036,40.76846859999932,40.76846859999932,40.76846859999932,40.76846859999932,40.78482420000364,41.76852849998977,41.76852849998977,42.252830499986885,z,1,0.4767428000050131,None,,,,,,,,,,,,,,,111,001,2025-10-01_20h04.11.512,Motor_sequence_exp,,2025.1.1,59.933497793801315,2025-10-01 20h04.22.246810 +0530,
-50,x,16,0,4,x,1,0.3758527000027243,None,,,,,4,0,16,0,,,,,42.268418999999994,,42.25320360000478,42.268418999999994,43.253608600003645,43.253608600003645,43.253608600003645,43.253608600003645,43.27045849998831,44.254060899984324,44.254060899984324,44.636820099985925,x,1,0.3758527000027243,None,,,,,,,,,,,,,,,111,001,2025-10-01_20h04.11.512,Motor_sequence_exp,,2025.1.1,59.933497793801315,2025-10-01 20h04.22.246810 +0530,
150,v,17,1,4,v,1,0.6842737000260968,None,,,,,4,1,17,1,,,,,44.652714099996956,,44.63721119999536,44.652714099996956,45.63705960000516,45.63705960000516,45.63705960000516,45.63705960000516,45.65375739999581,46.63686820000294,46.63686820000294,47.33811019998393,v,1,0.6842737000260968,None,,,,,,,,,,,,,,,111,001,2025-10-01_20h04.11.512,Motor_sequence_exp,,2025.1.1,59.933497793801315,2025-10-01 20h04.22.246810 +0530,
