thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
70,0,70,[np.float64(-0.1638888888888889)],[np.float64(0.13796296296296295)],[1],[0],[0],[1.9644344999996974],['target'],70,0,70,0,189.4037576,,10,189.3939009,189.4037576,189.4037576,0.0183044,191.3583932,[np.float64(-0.1638888888888889)],[np.float64(0.13796296296296295)],[1],[0],[0],[1.9644344999996974],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
71,0,71,[np.float64(0.4111111111111111)],[np.float64(0.42407407407407405)],[1],[0],[0],[4.0811935999990965],['target'],71,0,71,0,191.3890555,,10,191.3774427,191.3890555,191.3890555,0.0189352,195.4586922,[np.float64(0.4111111111111111)],[np.float64(0.42407407407407405)],[1],[0],[0],[4.0811935999990965],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
72,0,72,[np.float64(0.21203703703703702)],[np.float64(-0.18611111111111112)],[1],[0],[0],[2.6151718000000983],[None],72,0,72,0,195.4887317,,10,195.4782717,195.4887317,195.4887317,0.019474,198.0935015,[np.float64(0.21203703703703702)],[np.float64(-0.18611111111111112)],[1],[0],[0],[2.6151718000000983],[None],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
73,0,73,[np.float64(-0.48055555555555557)],[np.float64(-0.13148148148148148)],[1],[0],[0],[3.8899958999991213],['target'],73,0,73,0,198.1126512,,5,198.1040352,198.1126512,198.1126512,0.0103915,201.9940875,[np.float64(-0.48055555555555557)],[np.float64(-0.13148148148148148)],[1],[0],[0],[3.8899958999991213],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
74,0,74,[np.float64(-0.2101851851851852)],[np.float64(-0.3398148148148148)],[1],[0],[0],[2.7896413999988],['target'],74,0,74,0,202.0105633,,5,202.0030461,202.0105633,202.0105633,0.0088706,204.7927306,[np.float64(-0.2101851851851852)],[np.float64(-0.3398148148148148)],[1],[0],[0],[2.7896413999988],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
75,0,75,[np.float64(0.13703703703703704)],[np.float64(0.39814814814814814)],[1],[0],[0],[3.7745339999983116],['target'],75,0,75,0,204.8106537,,5,204.80302,204.8106537,204.8106537,0.0102022,208.5776224,[np.float64(0.13703703703703704)],[np.float64(0.39814814814814814)],[1],[0],[0],[3.7745339999983116],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
76,0,76,[np.float64(0.10092592592592593)],[np.float64(0.3472222222222222)],[1],[0],[0],[1.6150077999991481],['target'],76,0,76,0,208.6080938,,10,208.5975345,208.6080938,208.6080938,0.0198162,210.2126007,[np.float64(0.10092592592592593)],[np.float64(0.3472222222222222)],[1],[0],[0],[1.6150077999991481],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
77,0,77,[np.float64(-0.19074074074074074)],[np.float64(0.34629629629629627)],[1],[0],[0],[1.889823299999989],['target'],77,0,77,0,210.230168,,5,210.222595,210.230168,210.230168,0.0098833,212.1124759,[np.float64(-0.19074074074074074)],[np.float64(0.34629629629629627)],[1],[0],[0],[1.889823299999989],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
78,0,78,[np.float64(-0.15)],[np.float64(-0.07962962962962963)],[1],[0],[0],[2.1412380000001576],['target'],78,0,78,0,212.1294485,,5,212.1219992,212.1294485,212.1294485,0.0094344,214.2633129,[np.float64(-0.15)],[np.float64(-0.07962962962962963)],[1],[0],[0],[2.1412380000001576],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
79,0,79,[np.float64(0.33425925925925926)],[np.float64(0.075)],[1],[0],[0],[2.940667400000166],['target'],79,0,79,0,214.2798861,,5,214.2719329,214.2798861,214.2798861,0.0085157,217.2126569,[np.float64(0.33425925925925926)],[np.float64(0.075)],[1],[0],[0],[2.940667400000166],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
80,0,80,[np.float64(0.35833333333333334)],[np.float64(-0.10277777777777777)],[1],[0],[0],[2.0226239999992686],['target'],80,0,80,0,217.2318595,,5,217.2236028,217.2318595,217.2318595,0.0108595,219.2462826,[np.float64(0.35833333333333334)],[np.float64(-0.10277777777777777)],[1],[0],[0],[2.0226239999992686],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
