thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
111,0,111,[np.float64(-0.125)],[np.float64(0.05740740740740741)],[1],[0],[0],[3.235580700000355],['target'],111,0,111,0,313.780993,,5,313.7728692,313.780993,313.780993,0.0142157,317.0085141,[np.float64(-0.125)],[np.float64(0.05740740740740741)],[1],[0],[0],[3.235580700000355],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
112,0,112,[np.float64(-0.1111111111111111)],[np.float64(0.25925925925925924)],[1],[0],[0],[2.6567543000001024],['target'],112,0,112,0,317.0262914,,5,317.0182758,317.0262914,317.0262914,0.0096638,319.6750897,[np.float64(-0.1111111111111111)],[np.float64(0.25925925925925924)],[1],[0],[0],[2.6567543000001024],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
113,0,113,[np.float64(-0.26481481481481484)],[np.float64(0.12407407407407407)],[1],[0],[0],[2.8469232999996166],['target'],113,0,113,0,319.704723,,10,319.694922,319.704723,319.704723,0.019743,322.5419088,[np.float64(-0.26481481481481484)],[np.float64(0.12407407407407407)],[1],[0],[0],[2.8469232999996166],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
114,0,114,[np.float64(-0.49537037037037035)],[np.float64(-0.2324074074074074)],[1],[0],[0],[2.799332399999912],['target'],114,0,114,0,322.5698333,,10,322.5598902,322.5698333,322.5698333,0.0178727,325.3592836,[np.float64(-0.49537037037037035)],[np.float64(-0.2324074074074074)],[1],[0],[0],[2.799332399999912],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
115,0,115,[np.float64(-0.2953703703703704)],[np.float64(-0.2037037037037037)],[1],[0],[0],[3.1332581999995455],['target'],115,0,115,0,325.3938961,,10,325.3825221,325.3938961,325.3938961,0.0231295,328.5158465,[np.float64(-0.2953703703703704)],[np.float64(-0.2037037037037037)],[1],[0],[0],[3.1332581999995455],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
116,0,116,[np.float64(-0.23148148148148148)],[np.float64(0.46296296296296297)],[1],[0],[0],[2.686625999998796],['target'],116,0,116,0,328.5360561,,5,328.5278013,328.5360561,328.5360561,0.011836,331.2144825,[np.float64(-0.23148148148148148)],[np.float64(0.46296296296296297)],[1],[0],[0],[2.686625999998796],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
117,0,117,[np.float64(-0.2064814814814815)],[np.float64(0.37407407407407406)],[1],[0],[0],[2.5979286000001593],['target'],117,0,117,0,331.2457612,,10,331.2351833,331.2457612,331.2457612,0.0206164,333.8331891,[np.float64(-0.2064814814814815)],[np.float64(0.37407407407407406)],[1],[0],[0],[2.5979286000001593],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
118,0,118,[np.float64(0.09444444444444444)],[np.float64(0.46574074074074073)],[1],[0],[0],[2.6724517999991804],['target'],118,0,118,0,333.8537102,,5,333.8450343,333.8537102,333.8537102,0.0117296,336.5175495,[np.float64(0.09444444444444444)],[np.float64(0.46574074074074073)],[1],[0],[0],[2.6724517999991804],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
119,0,119,[np.float64(0.2833333333333333)],[np.float64(0.07407407407407407)],[1],[0],[0],[2.6577830000005633],['target'],119,0,119,0,336.5332263,,5,336.5257944,336.5332263,336.5332263,0.0081471,339.1836333,[np.float64(0.2833333333333333)],[np.float64(0.07407407407407407)],[1],[0],[0],[2.6577830000005633],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
120,0,120,[np.float64(-0.2916666666666667)],[np.float64(-0.08425925925925926)],[1],[0],[0],[2.5332828000009613],[None],120,0,120,0,339.214233,,10,339.2023977,339.214233,339.214233,0.0186795,341.7357392,[np.float64(-0.2916666666666667)],[np.float64(-0.08425925925925926)],[1],[0],[0],[2.5332828000009613],[None],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
121,0,121,[np.float64(-0.11666666666666667)],[np.float64(0.28703703703703703)],[1],[0],[0],[2.5772465000009106],['target'],121,0,121,0,341.7547527,,5,341.7459635,341.7547527,341.7547527,0.0101163,344.3232692,[np.float64(-0.11666666666666667)],[np.float64(0.28703703703703703)],[1],[0],[0],[2.5772465000009106],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
122,0,122,[np.float64(0.13055555555555556)],[np.float64(0.18703703703703703)],[1],[0],[0],[3.519897199999832],['target'],122,0,122,0,344.3403381,,5,344.3324771,344.3403381,344.3403381,0.0091151,347.8524402,[np.float64(0.13055555555555556)],[np.float64(0.18703703703703703)],[1],[0],[0],[3.519897199999832],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
123,0,123,[np.float64(0.3212962962962963)],[np.float64(0.09074074074074075)],[1],[0],[0],[4.55824659999962],['target'],123,0,123,0,347.8692067,,5,347.8611715,347.8692067,347.8692067,0.0086315,352.4194746,[np.float64(0.3212962962962963)],[np.float64(0.09074074074074075)],[1],[0],[0],[4.55824659999962],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
124,0,124,[np.float64(-0.05092592592592592)],[np.float64(0.22592592592592592)],[1],[0],[0],[4.532438399999592],['target'],124,0,124,0,352.4476805,,10,352.4371984,352.4476805,352.4476805,0.0176347,356.9696942,[np.float64(-0.05092592592592592)],[np.float64(0.22592592592592592)],[1],[0],[0],[4.532438399999592],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
125,0,125,[np.float64(0.2833333333333333)],[np.float64(-0.43333333333333335)],[1],[0],[0],[5.255765199999587],['target'],125,0,125,0,356.9890495,,5,356.9808964,356.9890495,356.9890495,0.0110806,362.236724,[np.float64(0.2833333333333333)],[np.float64(-0.43333333333333335)],[1],[0],[0],[5.255765199999587],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
126,0,126,[np.float64(-0.18425925925925926)],[np.float64(-0.009259259259259259)],[1],[0],[0],[6.9327527999994345],['target'],126,0,126,0,362.2645854,,10,362.2542257,362.2645854,362.2645854,0.0174053,369.1870421,[np.float64(-0.18425925925925926)],[np.float64(-0.009259259259259259)],[1],[0],[0],[6.9327527999994345],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
127,0,127,[np.float64(0.09907407407407408)],[np.float64(0.4703703703703704)],[1],[0],[0],[4.055117100000643],['target'],127,0,127,0,369.2047142,,5,369.1976444,369.2047142,369.2047142,0.0104365,373.252814,[np.float64(0.09907407407407408)],[np.float64(0.4703703703703704)],[1],[0],[0],[4.055117100000643],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
128,0,128,[np.float64(-0.12407407407407407)],[np.float64(0.16018518518518518)],[1],[0],[0],[4.335646099998485],['target'],128,0,128,0,373.2794676,,10,373.2700447,373.2794676,373.2794676,0.0171485,377.6057496,[np.float64(-0.12407407407407407)],[np.float64(0.16018518518518518)],[1],[0],[0],[4.335646099998485],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
129,0,129,[np.float64(-0.4305555555555556)],[np.float64(-0.28425925925925927)],[1],[0],[0],[4.418416000000434],['target'],129,0,129,0,377.635016,,10,377.6233911,377.635016,377.635016,0.0175347,382.041866,[np.float64(-0.4305555555555556)],[np.float64(-0.28425925925925927)],[1],[0],[0],[4.418416000000434],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
130,0,130,[np.float64(0.48518518518518516)],[np.float64(0.03148148148148148)],[1],[0],[0],[6.272461300000941],['target'],130,0,130,0,382.0583221,,5,382.0505096,382.0583221,382.0583221,0.0085252,388.3230344,[np.float64(0.48518518518518516)],[np.float64(0.03148148148148148)],[1],[0],[0],[6.272461300000941],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
131,0,131,[np.float64(0.018518518518518517)],[np.float64(-0.02962962962962963)],[1],[0],[0],[3.196805499999755],['target'],131,0,131,0,388.3526161,,10,388.3433557,388.3526161,388.3526161,0.020215,391.5402163,[np.float64(0.018518518518518517)],[np.float64(-0.02962962962962963)],[1],[0],[0],[3.196805499999755],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
132,0,132,[np.float64(-0.2935185185185185)],[np.float64(0.4166666666666667)],[1],[0],[0],[5.157527600000321],['target'],132,0,132,0,391.557127,,5,391.5497676,391.557127,391.557127,0.0094338,396.7073587,[np.float64(-0.2935185185185185)],[np.float64(0.4166666666666667)],[1],[0],[0],[5.157527600000321],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
133,0,133,[np.float64(-0.325)],[np.float64(-0.24259259259259258)],[1],[0],[0],[2.816368000001603],['target'],133,0,133,0,396.7350492,,10,396.7245428,396.7350492,396.7350492,0.0170886,399.5409761,[np.float64(-0.325)],[np.float64(-0.24259259259259258)],[1],[0],[0],[2.816368000001603],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
134,0,134,[np.float64(0.45740740740740743)],[np.float64(-0.31203703703703706)],[1],[0],[0],[5.61586989999887],['target'],134,0,134,0,399.5675423,,10,399.558112,399.5675423,399.5675423,0.0170278,405.1740463,[np.float64(0.45740740740740743)],[np.float64(-0.31203703703703706)],[1],[0],[0],[5.61586989999887],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
135,0,135,[np.float64(0.16018518518518518)],[np.float64(-0.053703703703703705)],[1],[0],[0],[3.484040900000764],['target'],135,0,135,0,405.2009649,,10,405.1912159,405.2009649,405.2009649,0.0170501,408.6753207,[np.float64(0.16018518518518518)],[np.float64(-0.053703703703703705)],[1],[0],[0],[3.484040900000764],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
136,0,136,[np.float64(0.4740740740740741)],[np.float64(-0.46574074074074073)],[1],[0],[0],[4.282124500001373],['target'],136,0,136,0,408.7053674,,10,408.6933619,408.7053674,408.7053674,0.0178392,412.9755406,[np.float64(0.4740740740740741)],[np.float64(-0.46574074074074073)],[1],[0],[0],[4.282124500001373],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
137,0,137,[np.float64(-0.41759259259259257)],[np.float64(-0.4203703703703704)],[1],[0],[0],[6.416252600000007],['target'],137,0,137,0,413.0017564,,10,412.9923786,413.0017564,413.0017564,0.0167289,419.4086884,[np.float64(-0.41759259259259257)],[np.float64(-0.4203703703703704)],[1],[0],[0],[6.416252600000007],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
138,0,138,[np.float64(-0.09351851851851851)],[np.float64(-0.15092592592592594)],[1],[0],[0],[3.390315999999075],['target'],138,0,138,0,419.4263021,,5,419.4174009,419.4263021,419.4263021,0.0086042,422.8077729,[np.float64(-0.09351851851851851)],[np.float64(-0.15092592592592594)],[1],[0],[0],[3.390315999999075],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
139,0,139,[np.float64(0.10925925925925926)],[np.float64(0.475)],[1],[0],[0],[3.293609700000161],['target'],139,0,139,0,422.8268395,,5,422.8168827,422.8268395,422.8268395,0.0090229,426.1105548,[np.float64(0.10925925925925926)],[np.float64(0.475)],[1],[0],[0],[3.293609700000161],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
140,0,140,[np.float64(0.10277777777777777)],[np.float64(0.46574074074074073)],[1],[0],[0],[1.708410899998853],['target'],140,0,140,0,426.1281442,,5,426.1188796,426.1281442,426.1281442,0.0082349,427.8273542,[np.float64(0.10277777777777777)],[np.float64(0.46574074074074073)],[1],[0],[0],[1.708410899998853],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
141,0,141,[np.float64(0.14907407407407408)],[np.float64(-0.30277777777777776)],[1],[0],[0],[4.46421139999984],['target'],141,0,141,0,427.8552644,,10,427.8438615,427.8552644,427.8552644,0.0164177,432.3081377,[np.float64(0.14907407407407408)],[np.float64(-0.30277777777777776)],[1],[0],[0],[4.46421139999984],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
142,0,142,[np.float64(-0.29444444444444445)],[np.float64(-0.03425925925925926)],[1],[0],[0],[5.133472299999994],['target'],142,0,142,0,432.3363616,,10,432.3259823,432.3363616,432.3363616,0.0177406,437.4595178,[np.float64(-0.29444444444444445)],[np.float64(-0.03425925925925926)],[1],[0],[0],[5.133472299999994],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
143,0,143,[np.float64(-0.3712962962962963)],[np.float64(-0.11203703703703703)],[1],[0],[0],[2.9475271999999677],['target'],143,0,143,0,437.4867849,,10,437.4768622,437.4867849,437.4867849,0.0172244,440.424443,[np.float64(-0.3712962962962963)],[np.float64(-0.11203703703703703)],[1],[0],[0],[2.9475271999999677],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
144,0,144,[np.float64(-0.03333333333333333)],[np.float64(-0.1648148148148148)],[1],[0],[0],[2.243094600000404],['target'],144,0,144,0,440.4406479,,5,440.4331741,440.4406479,440.4406479,0.0086258,442.6763499,[np.float64(-0.03333333333333333)],[np.float64(-0.1648148148148148)],[1],[0],[0],[2.243094600000404],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
145,0,145,[np.float64(0.24259259259259258)],[np.float64(0.36203703703703705)],[1],[0],[0],[2.6147801999995863],['target'],145,0,145,0,442.7055657,,10,442.6938258,442.7055657,442.7055657,0.0173759,445.3086597,[np.float64(0.24259259259259258)],[np.float64(0.36203703703703705)],[1],[0],[0],[2.6147801999995863],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
146,0,146,[np.float64(0.46574074074074073)],[np.float64(0.4148148148148148)],[1],[0],[0],[2.2914179999988846],['target'],146,0,146,0,445.3250136,,5,445.3177209,445.3250136,445.3250136,0.0089539,447.6092193,[np.float64(0.46574074074074073)],[np.float64(0.4148148148148148)],[1],[0],[0],[2.2914179999988846],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
147,0,147,[np.float64(0.03148148148148148)],[np.float64(-0.4351851851851852)],[1],[0],[0],[3.064670899999328],[None],147,0,147,0,447.6371275,,10,447.6275257,447.6371275,447.6371275,0.0181818,450.6922499,[np.float64(0.03148148148148148)],[np.float64(-0.4351851851851852)],[1],[0],[0],[3.064670899999328],[None],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
148,0,148,[np.float64(-0.4564814814814815)],[np.float64(0.4148148148148148)],[1],[0],[0],[2.8573152999997546],['target'],148,0,148,0,450.7090487,,5,450.7011444,450.7090487,450.7090487,0.0087867,453.5585207,[np.float64(-0.4564814814814815)],[np.float64(0.4148148148148148)],[1],[0],[0],[2.8573152999997546],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
149,0,149,[np.float64(0.2962962962962963)],[np.float64(0.24259259259259258)],[1],[0],[0],[3.1104922000013175],['target'],149,0,149,0,453.5746129,,5,453.5667092,453.5746129,453.5746129,0.0080948,456.6772631,[np.float64(0.2962962962962963)],[np.float64(0.24259259259259258)],[1],[0],[0],[3.1104922000013175],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
150,0,150,[np.float64(0.46296296296296297)],[np.float64(0.1527777777777778)],[1],[0],[0],[2.2490877000000182],['target'],150,0,150,0,456.7065758,,10,456.6953796,456.7065758,456.7065758,0.0180079,458.9445204,[np.float64(0.46296296296296297)],[np.float64(0.1527777777777778)],[1],[0],[0],[2.2490877000000182],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
151,0,151,[np.float64(-0.32592592592592595)],[np.float64(0.0787037037037037)],[1],[0],[0],[4.647092499999417],[None],151,0,151,0,458.9729272,,10,458.9638312,458.9729272,458.9729272,0.0191972,463.6109851,[np.float64(-0.32592592592592595)],[np.float64(0.0787037037037037)],[1],[0],[0],[4.647092499999417],[None],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
152,0,152,[np.float64(0.24814814814814815)],[np.float64(-0.45185185185185184)],[1],[0],[0],[6.191427700001441],['target'],152,0,152,0,463.6272065,,5,463.6194502,463.6272065,463.6272065,0.0083525,469.8109326,[np.float64(0.24814814814814815)],[np.float64(-0.45185185185185184)],[1],[0],[0],[6.191427700001441],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
153,0,153,[np.float64(0.42592592592592593)],[np.float64(-0.17222222222222222)],[1],[0],[0],[5.583262099999047],['target'],153,0,153,0,469.8382881,,10,469.8279899,469.8382881,469.8382881,0.0169722,475.411296,[np.float64(0.42592592592592593)],[np.float64(-0.17222222222222222)],[1],[0],[0],[5.583262099999047],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
154,0,154,[np.float64(-0.4361111111111111)],[np.float64(-0.37962962962962965)],[1],[0],[0],[3.7265348000000813],[None],154,0,154,0,475.4285696,,5,475.4202361,475.4285696,475.4285696,0.0088335,479.1468329,[np.float64(-0.4361111111111111)],[np.float64(-0.37962962962962965)],[1],[0],[0],[3.7265348000000813],[None],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
155,0,155,[np.float64(-0.28888888888888886)],[np.float64(-0.30092592592592593)],[1],[0],[0],[1.7306977999996889],['target'],155,0,155,0,479.1742898,,10,479.1641489,479.1742898,479.1742898,0.0172252,480.8949109,[np.float64(-0.28888888888888886)],[np.float64(-0.30092592592592593)],[1],[0],[0],[1.7306977999996889],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
156,0,156,[np.float64(-0.41203703703703703)],[np.float64(0.27870370370370373)],[1],[0],[0],[3.000845100001243],['target'],156,0,156,0,480.9234246,,10,480.9128878,480.9234246,480.9234246,0.017855,483.9137871,[np.float64(-0.41203703703703703)],[np.float64(0.27870370370370373)],[1],[0],[0],[3.000845100001243],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
157,0,157,[np.float64(-0.44537037037037036)],[np.float64(0.39351851851851855)],[1],[0],[0],[3.1642168999987916],['target'],157,0,157,0,483.9434292,,10,483.9317146,483.9434292,483.9434292,0.0178254,487.0959924,[np.float64(-0.44537037037037036)],[np.float64(0.39351851851851855)],[1],[0],[0],[3.1642168999987916],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
158,0,158,[np.float64(0.025)],[np.float64(0.40555555555555556)],[1],[0],[0],[2.2158038999987184],['target'],158,0,158,0,487.1225894,,10,487.1130455,487.1225894,487.1225894,0.0169381,489.3289087,[np.float64(0.025)],[np.float64(0.40555555555555556)],[1],[0],[0],[2.2158038999987184],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
159,0,159,[np.float64(-0.016666666666666666)],[np.float64(0.15555555555555556)],[1],[0],[0],[2.2913683999995555],['target'],159,0,159,0,489.3449757,,5,489.3376699,489.3449757,489.3449757,0.0086246,491.6291012,[np.float64(-0.016666666666666666)],[np.float64(0.15555555555555556)],[1],[0],[0],[2.2913683999995555],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
160,0,160,[np.float64(0.2537037037037037)],[np.float64(0.09166666666666666)],[1],[0],[0],[2.9241080000010697],['target'],160,0,160,0,491.6452334,,5,491.6377876,491.6452334,491.6452334,0.0085918,494.5619491,[np.float64(0.2537037037037037)],[np.float64(0.09166666666666666)],[1],[0],[0],[2.9241080000010697],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
161,0,161,[np.float64(0.4046296296296296)],[np.float64(-0.15648148148148147)],[1],[0],[0],[5.185757200000808],['target'],161,0,161,0,494.5885981,,10,494.5792667,494.5885981,494.5885981,0.0172348,499.765083,[np.float64(0.4046296296296296)],[np.float64(-0.15648148148148147)],[1],[0],[0],[5.185757200000808],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
162,0,162,[np.float64(0.08888888888888889)],[np.float64(0.4981481481481482)],[1],[0],[0],[2.9555997000006755],[None],162,0,162,0,499.7808767,,5,499.7739736,499.7808767,499.7808767,0.0087795,502.7296304,[np.float64(0.08888888888888889)],[np.float64(0.4981481481481482)],[1],[0],[0],[2.9555997000006755],[None],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
163,0,163,[np.float64(-0.42314814814814816)],[np.float64(0.4064814814814815)],[1],[0],[0],[3.265794900000401],['target'],163,0,163,0,502.7580464,,10,502.7478724,502.7580464,502.7580464,0.0181453,506.0137387,[np.float64(-0.42314814814814816)],[np.float64(0.4064814814814815)],[1],[0],[0],[3.265794900000401],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
164,0,164,[np.float64(-0.013888888888888888)],[np.float64(-0.1925925925925926)],[1],[0],[0],[2.8227514999998675],['target'],164,0,164,0,506.0306087,,5,506.0232745,506.0306087,506.0306087,0.0094063,508.8460875,[np.float64(-0.013888888888888888)],[np.float64(-0.1925925925925926)],[1],[0],[0],[2.8227514999998675],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
165,0,165,[np.float64(0.15833333333333333)],[np.float64(-0.01574074074074074)],[1],[0],[0],[3.099188399999548],['target'],165,0,165,0,508.873959,,10,508.8636125,508.873959,508.873959,0.0174263,511.9628615,[np.float64(0.15833333333333333)],[np.float64(-0.01574074074074074)],[1],[0],[0],[3.099188399999548],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
166,0,166,[np.float64(0.37962962962962965)],[np.float64(0.3787037037037037)],[1],[0],[0],[4.666534399999364],['target'],166,0,166,0,511.990264,,10,511.9803049,511.990264,511.990264,0.0173278,516.6469117,[np.float64(0.37962962962962965)],[np.float64(0.3787037037037037)],[1],[0],[0],[4.666534399999364],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
167,0,167,[np.float64(0.48703703703703705)],[np.float64(-0.20833333333333334)],[1],[0],[0],[4.32430899999963],['target'],167,0,167,0,516.6636768,,5,516.6557718,516.6636768,516.6636768,0.0087339,520.9801357,[np.float64(0.48703703703703705)],[np.float64(-0.20833333333333334)],[1],[0],[0],[4.32430899999963],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
168,0,168,[np.float64(0.5157407407407407)],[np.float64(0.47314814814814815)],[1],[0],[0],[4.573731200000111],[None],168,0,168,0,520.9976217,,5,520.9893042,520.9976217,520.9976217,0.009076,525.5630894,[np.float64(0.5157407407407407)],[np.float64(0.47314814814814815)],[1],[0],[0],[4.573731200000111],[None],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
169,0,169,[np.float64(-0.041666666666666664)],[np.float64(0.07037037037037037)],[1],[0],[0],[4.12457220000033],[None],169,0,169,0,525.579236,,5,525.5718269,525.579236,525.579236,0.0086527,529.6964572,[np.float64(-0.041666666666666664)],[np.float64(0.07037037037037037)],[1],[0],[0],[4.12457220000033],[None],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
170,0,170,[np.float64(0.11851851851851852)],[np.float64(-0.2851851851851852)],[1],[0],[0],[3.5246122000007745],['target'],170,0,170,0,529.7124993,,5,529.7052301,529.7124993,529.7124993,0.0086823,533.2298958,[np.float64(0.11851851851851852)],[np.float64(-0.2851851851851852)],[1],[0],[0],[3.5246122000007745],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
171,0,171,[np.float64(0.29444444444444445)],[np.float64(0.4648148148148148)],[1],[0],[0],[3.591034999999465],['target'],171,0,171,0,533.2470536,,5,533.2388788,533.2470536,533.2470536,0.0089026,536.829977,[np.float64(0.29444444444444445)],[np.float64(0.4648148148148148)],[1],[0],[0],[3.591034999999465],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
